Date,1,2,3,4,5,6
2019-09-01,1.5,1.4,1.4,,,
2019-12-01,1.8,1.7,1.8,,,
2020-03-01,0.9,0.4,0.3,,,
2020-06-01,0.7,-0.3,0.3,,,
2020-09-01,0.5,0.5,0.6,,,
2020-12-01,0.6,0.7,1.1,,,
2021-03-01,1.5,1.8,1.7,,,
2021-06-01,2.1,3.0,3.0,,,
2021-09-01,3.9,4.5,4.5,,,
2021-12-01,5.4,5.9,5.9,,,
2022-03-01,9.1,9.2,9.1,,,
2022-06-01,9.9,9.9,10.0,13.3,13.1,12.9
2022-09-01,10.9,10.9,10.9,10.6,10.2,9.6
2022-12-01,10.1,9.9,9.2,8.7,8.6,8.1
2023-03-01,8.41,8.33,7.92,6.91,7.08,6.92
2023-06-01,6.835,7.064,6.904,5.008,4.844,4.946
2023-09-01,4.8,4.6,4.6,5.022,4.276,3.813
2023-12-01,4.105,3.514,3.13,2.138,1.881,1.924
2024-03-01,2.064,1.938,1.987,2.394,2.255,1.984
2024-06-01,2.366,2.367,2.097,2.598,2.762,2.8
2024-09-01,2.182,2.423,2.463,2.524,2.468,2.399
2024-12-01,2.816,2.848,2.709,3.554,3.53,3.549
