,"AvGNAR({1,13,25},{1})","AvGNAR({1,13,25},{1})","AvGNAR({1,13,25},{1})","AvGNAR({1,13,25},{1})","AvGNAR({1,13,25},{1})","AvGNAR({1,13,25},{1})","AvGNAR({1,13,25},{1})","AvGNAR({1,13,25},{1})","AvGNAR({1,13,25},{1})","AvGNAR({1,13,25},{1})","AvGNAR({1,13,25},{1})","AvGNAR({1,13,25},{1})","AvGNAR({2,13,25},{1})","AvGNAR({2,13,25},{1})","AvGNAR({2,13,25},{1})","AvGNAR({2,13,25},{1})","AvGNAR({2,13,25},{1})","AvGNAR({2,13,25},{1})","AvGNAR({2,13,25},{1})","AvGNAR({2,13,25},{1})","AvGNAR({2,13,25},{1})","AvGNAR({2,13,25},{1})","AvGNAR({2,13,25},{1})","AvGNAR({2,13,25},{1})","AvGNAR({1,13,25},{2})","AvGNAR({1,13,25},{2})","AvGNAR({1,13,25},{2})","AvGNAR({1,13,25},{2})","AvGNAR({1,13,25},{2})","AvGNAR({1,13,25},{2})","AvGNAR({1,13,25},{2})","AvGNAR({1,13,25},{2})","AvGNAR({1,13,25},{2})","AvGNAR({1,13,25},{2})","AvGNAR({1,13,25},{2})","AvGNAR({1,13,25},{2})","AvGNAR({2,13,25},{2})","AvGNAR({2,13,25},{2})","AvGNAR({2,13,25},{2})","AvGNAR({2,13,25},{2})","AvGNAR({2,13,25},{2})","AvGNAR({2,13,25},{2})","AvGNAR({2,13,25},{2})","AvGNAR({2,13,25},{2})","AvGNAR({2,13,25},{2})","AvGNAR({2,13,25},{2})","AvGNAR({2,13,25},{2})","AvGNAR({2,13,25},{2})","AvGNAR({1,13,25},{1,2})","AvGNAR({1,13,25},{1,2})","AvGNAR({1,13,25},{1,2})","AvGNAR({1,13,25},{1,2})","AvGNAR({1,13,25},{1,2})","AvGNAR({1,13,25},{1,2})","AvGNAR({1,13,25},{1,2})","AvGNAR({1,13,25},{1,2})","AvGNAR({1,13,25},{1,2})","AvGNAR({1,13,25},{1,2})","AvGNAR({1,13,25},{1,2})","AvGNAR({1,13,25},{1,2})","AvGNAR({2,13,25},{1,2})","AvGNAR({2,13,25},{1,2})","AvGNAR({2,13,25},{1,2})","AvGNAR({2,13,25},{1,2})","AvGNAR({2,13,25},{1,2})","AvGNAR({2,13,25},{1,2})","AvGNAR({2,13,25},{1,2})","AvGNAR({2,13,25},{1,2})","AvGNAR({2,13,25},{1,2})","AvGNAR({2,13,25},{1,2})","AvGNAR({2,13,25},{1,2})","AvGNAR({2,13,25},{1,2})"
,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-12-01,2.7926064456106015,2.6066682192892214,2.6218488286407977,2.6671974311683484,2.6607005599318225,2.6338570339267378,2.44223421014123,2.4789904781805134,2.528589632274917,2.4496177972548554,2.257585196247932,1.9311792815034778,2.8041528799776327,2.6171668091070015,2.629707327962838,2.6726402633968753,2.6640112353798355,2.6353115625085297,2.442082880995763,2.4774586698964702,2.5258795733520145,2.445910468703342,2.253042138558473,1.9259442890187544,2.8443949883957784,2.674279655453643,2.700627777088466,2.747467974343453,2.745039774978911,2.743900630853757,2.545300697057885,2.592232749727815,2.6472899726766213,2.5720063893035516,2.4022821981055054,2.073556781878409,2.857745895583878,2.679817805109304,2.6981935574053657,2.738306442817469,2.730342172844345,2.724708518285711,2.522514850603827,2.566629296351401,2.619535459544694,2.542671210764751,2.37185249306358,2.0424449632908304,2.81850071700319,2.640473937371432,2.6612383028646316,2.707332702755901,2.7028701674553672,2.688878832390247,2.4937674535995575,2.5356116139541642,2.5879398024757694,2.510812093279204,2.329933697176719,2.002368031690944,2.8309493877807554,2.6484923071081528,2.663950442684101,2.705473353107172,2.69717670411209,2.68001004039712,2.482298865799795,2.522043983123935,2.572707516448354,2.4942908397340466,2.3124473158110264,1.9841946261547927
2010-01-01,3.2195829304439854,3.240351483074012,3.2630247033985493,3.2236892762454743,3.1892686360439932,2.975894641283609,2.98393901886376,3.028818189355674,2.9238326948423574,2.731044762759447,2.387702225285538,2.0929096421735927,3.2158094406389917,3.2326836369125735,3.2507692808057485,3.207595807156903,3.1699699267610897,2.9539685484629516,2.959898556337654,3.003117309702256,2.896871281787632,2.703173521271857,2.359227267054558,2.064096765901857,3.2262748556865737,3.2704030907018278,3.2962228802075484,3.2689176528168,3.2487677812552653,3.0285304754301356,3.029288171051229,3.0613283250330947,2.949821227266123,2.7680777178664138,2.4066097678866103,2.127726644720409,3.235909105583525,3.2685076560788335,3.2831302035305967,3.246465420341701,3.2186905242207975,2.9923408630454666,2.9882910026548735,3.01664453838077,2.9024103441085125,2.7187578352553814,2.3560752550428883,2.0765637880084813,3.2229288930652795,3.2553772868879203,3.2796237918030484,3.246303464531137,3.2190182086496293,3.0022125583568724,3.006613594957494,3.045073257194384,2.93682696105424,2.7495612403129304,2.3971559965860743,2.110318143447001,3.2258592731112583,3.2505956464957033,3.266949742168172,3.2270306137493017,3.194330225490944,2.9731547057542094,2.974094779496264,3.009880924041513,2.8996408129480717,2.7109656782636193,2.3576512610487232,2.070330276955169
2010-02-01,3.0679416428070447,3.0969027359827757,3.0657681021779246,3.048701397774172,2.849218229402188,2.866668225886208,2.911992366428669,2.8152564458578673,2.629138579684662,2.280365020035765,1.9843184793209125,2.0100309960881018,3.0679513327731094,3.0910649138859854,3.0553316638170114,3.0344986809590146,2.8319684145527884,2.846992737789113,2.8904298221575773,2.7922724489850688,2.605134067091533,2.255683683281337,1.9592534191590179,1.9848306911920233,3.071729895488801,3.127908011614276,3.104309634854476,3.0866336476918206,2.8805463273755847,2.8894211366427562,2.9488812967764098,2.847921859504025,2.6710206540991472,2.2974124726724297,2.0307989959298163,2.100028600832809,3.0485344398396763,3.096121784751617,3.066574616527211,3.0444056707897267,2.8349975719202245,2.8415371018488074,2.899490989226811,2.797719171880713,2.6205825905138473,2.2472150678066383,1.981231252845685,2.051404687385391,3.069835769147923,3.1124053737985258,3.0850388685162002,3.067667522732996,2.8648822783888863,2.878044681264482,2.9304368316025395,2.8315891526809467,2.6500796168919045,2.288888746354097,2.0075587376253643,2.0550297984604553,3.058242886306393,3.0935933493188013,3.0609531401721117,3.0394521758743704,2.833482993236506,2.84426491981896,2.8949604056921943,2.7949958104328907,2.6128583288026896,2.251449375543988,1.9702423360023513,2.018117689288707
2010-03-01,3.4024000663202845,3.3822814370918493,3.35241774941219,3.134201531107015,3.150477431024069,3.1808418510391085,3.064100729789678,2.8637090915719874,2.49975571858895,2.2007209644817887,2.207891959305998,2.0100346165638774,3.404542217874805,3.3791751813125726,3.3440739454683928,3.121420958127013,3.1340085549026004,3.161352731771565,3.0421803306912687,2.8398745005507045,2.4744591432768686,2.174356240307683,2.1808005363787033,1.982511047644594,3.4230912518382013,3.407512641864704,3.392489368004167,3.166972479654755,3.1734250734079588,3.208652089706798,3.086699776228297,2.910466078776759,2.517987866569514,2.2392745788618424,2.3022268359608513,2.110150497978013,3.4321282785441576,3.4063469103695265,3.3816253916059438,3.14805744478573,3.1479767139065475,3.177987296003798,3.051951897046043,2.87260683675766,2.4778473250359982,2.197558852376621,2.2595337480339936,2.066983410225128,3.4127456590792424,3.394897039478277,3.3724535587081785,3.150587005380885,3.1619512522160136,3.194746970372954,3.0754002530089877,2.8870875851743727,2.5088717925792317,2.219997771671816,2.255059397633425,2.060092557270945,3.418335248209481,3.3927610458410498,3.362849668537168,3.1347392014563713,3.140992634404574,3.1696700138876817,3.0470661138686563,2.856240668654182,2.476153234156433,2.1859575463421517,2.220167142206349,2.0247472289348614
2010-04-01,3.6814586146691273,3.623634574534671,3.387532197798373,3.3770253330833113,3.370589915257138,3.232564125712715,3.01356568064913,2.6302059976926135,2.3257388432109005,2.3376700331723828,2.1311524335785363,1.9269618737332526,3.675307260607784,3.6119893082846635,3.3708670339345517,3.356383041679038,3.3468550881748556,3.206496124643771,2.9858083762817937,2.601302807309345,2.2961459269620734,2.3077679510993887,2.1012563732839986,1.8973306146101596,3.7013279077541923,3.6871245270995883,3.4595955004015724,3.4637815401028096,3.5037339127534737,3.370686030550758,3.181634552107346,2.7822810784363665,2.4936164545700112,2.5420392562089775,2.3450937222849952,2.16921432280198,3.693356371157744,3.6650842428277106,3.425460206015021,3.419735220168844,3.451710976191883,3.3123629224898337,3.1184570932734057,2.715491854513862,2.424279414094326,2.471061553505059,2.27324508004399,2.0971441828864266,3.6913932612116596,3.65537955081713,3.4235638490999722,3.4204034365930602,3.4371619140053054,3.301625078131736,3.0976001163782385,2.70624353806449,2.4096776488904554,2.43985464469068,2.238123077931766,2.0480880982676157,3.6843318158827643,3.638536775556188,3.3981636199747864,3.3880591309239407,3.3992830321833694,3.259429523566802,3.0521327347775995,2.6583973309116034,2.3602126705281994,2.389414752302223,2.187250726663994,1.9972373987482925
2010-05-01,3.4328552290261114,3.192321412802968,3.183462318306619,3.184392987145016,3.051813627013844,2.842449546400713,2.47560188947725,2.180963111970968,2.2039436990077665,1.9878813728272455,1.8103379606946557,1.8046302427267527,3.4162450699054285,3.1711508235280887,3.159036576807613,3.1576224604603973,3.0233726651478725,2.8129003162233945,2.445413113561566,2.1505237377490904,2.1735739981780076,1.9578425945549458,1.7808407467964065,1.775841962371431,3.4722364507909274,3.2226417154223714,3.2250326538849277,3.2546669859339397,3.146590420801511,2.976468981313387,2.600761996593135,2.308221267727174,2.3608386949948947,2.1539934582981672,2.0037432999618146,2.032949965187778,3.453270905992559,3.1925256095437575,3.1861717107457284,3.208858510672284,3.095354344401622,2.921106760859741,2.542385747246484,2.2477776249153605,2.299129718636676,2.0916950709491675,1.9414215515203717,1.9710753709973057,3.45254583990852,3.207481564112669,3.2042474860957726,3.2195299865394778,3.0992020239076776,2.90945926385705,2.538181943035192,2.244592189849071,2.282391197001331,2.0709374155627063,1.907040630328235,1.9187901039572655,3.4347579879489945,3.1818382165359225,3.1726041437766703,3.1832404855663405,3.0593635047747476,2.8670035385415678,2.493899430404025,2.1991506813322257,2.236351858407342,2.024768832752057,1.861131149158389,1.8734586666843682
2010-06-01,3.009402133206907,2.9988604025899854,3.006953401970454,2.87892889440851,2.6792047297416937,2.324026979680471,2.042735216234934,2.0777854584391418,1.8750962534663458,1.6970113868323942,1.7073415997484016,1.7575014886160316,3.016651437109354,3.000796057827681,3.0047896397067917,2.8733227732874713,2.670811219710503,2.3134084216136737,2.0303744815589497,2.0640950297705594,1.8604271384345126,1.6816609802179467,1.6915606218527763,1.7415000948988697,3.0082286966341916,3.015236406279404,3.059559147176729,2.971143431034939,2.806267373643474,2.4487369192812047,2.1703102869848787,2.2363504367558695,2.036825298701699,1.8871892796806928,1.9304048809984984,2.0054939357595982,2.9902405919913684,2.9874664794284107,3.0237188797568315,2.92881571621901,2.758831894163548,2.397382650461483,2.116057234366592,2.1800702164414503,1.9792594837031114,1.8289656471066007,1.8720517817394164,1.9474529941051968,3.0088154149205493,3.007048404434695,3.0332562745735916,2.9250361627217245,2.742736051692584,2.386381949480838,2.1065227516099063,2.1570679475975054,1.9559607760840223,1.7921003332565435,1.81887324037345,1.8814977121878147,3.003446014550361,2.9941312686280455,3.014254259731811,2.901069244753241,2.7148215569370255,2.3553955360375785,2.073215857962771,2.1220826231060053,1.919843311068812,1.7553133136622738,1.7818062017960965,1.844476544502033
2010-07-01,3.0032041192913823,3.0241719006681547,2.9041014019831266,2.7061883645317795,2.346044275873363,2.071523270348101,2.1105125259266155,1.9107066888012387,1.7371940531225925,1.7583991013826974,1.8092719251311913,1.8774231704107673,3.0051228122309546,3.0243525936477718,2.903039217490066,2.7040296685131637,2.3429800781740853,2.067718941939978,2.1061128544410703,1.9058375458563575,1.731964520945932,1.7529033614214053,1.8035909590407986,1.8716262855660446,3.0069399845534868,3.0668126914453815,2.9908278378502042,2.831753196395408,2.473039198683428,2.1865125559779357,2.249681484187692,2.055241809270648,1.8981150711699073,1.9469992754058374,2.018394632301757,2.0911474428176215,3.000549074129038,3.050484439766443,2.9660736689240395,2.800089731119174,2.4357977305391976,2.1448486710168067,2.204594798224426,2.0075941935744126,1.848646931336334,1.8963440454038032,1.9670916685372604,2.03965348702105,3.005072051922435,3.045492296056768,2.947464619916665,2.7689707804635937,2.4095417372783956,2.129017913163018,2.1800970050571533,1.9829742490359437,1.8176545621462497,1.8526991883942674,1.9138332787164742,1.9842853066141943,3.002835943179997,3.0374185167071066,2.934556443207052,2.752059699816169,2.3893889043566414,2.1062838064783924,2.1553538263327483,1.956715869715385,1.7903057261411328,1.8246237034126043,1.8853413137890296,1.9556398862935476
