,"AvGNAR({1,13,25},{1})","AvGNAR({1,13,25},{1})","AvGNAR({1,13,25},{1})","AvGNAR({1,13,25},{1})","AvGNAR({1,13,25},{1})","AvGNAR({1,13,25},{1})","AvGNAR({1,13,25},{1})","AvGNAR({1,13,25},{1})","AvGNAR({1,13,25},{1})","AvGNAR({1,13,25},{1})","AvGNAR({1,13,25},{1})","AvGNAR({1,13,25},{1})","AvGNAR({2,13,25},{1})","AvGNAR({2,13,25},{1})","AvGNAR({2,13,25},{1})","AvGNAR({2,13,25},{1})","AvGNAR({2,13,25},{1})","AvGNAR({2,13,25},{1})","AvGNAR({2,13,25},{1})","AvGNAR({2,13,25},{1})","AvGNAR({2,13,25},{1})","AvGNAR({2,13,25},{1})","AvGNAR({2,13,25},{1})","AvGNAR({2,13,25},{1})","AvGNAR({1,13,25},{2})","AvGNAR({1,13,25},{2})","AvGNAR({1,13,25},{2})","AvGNAR({1,13,25},{2})","AvGNAR({1,13,25},{2})","AvGNAR({1,13,25},{2})","AvGNAR({1,13,25},{2})","AvGNAR({1,13,25},{2})","AvGNAR({1,13,25},{2})","AvGNAR({1,13,25},{2})","AvGNAR({1,13,25},{2})","AvGNAR({1,13,25},{2})","AvGNAR({2,13,25},{2})","AvGNAR({2,13,25},{2})","AvGNAR({2,13,25},{2})","AvGNAR({2,13,25},{2})","AvGNAR({2,13,25},{2})","AvGNAR({2,13,25},{2})","AvGNAR({2,13,25},{2})","AvGNAR({2,13,25},{2})","AvGNAR({2,13,25},{2})","AvGNAR({2,13,25},{2})","AvGNAR({2,13,25},{2})","AvGNAR({2,13,25},{2})","AvGNAR({1,13,25},{1,2})","AvGNAR({1,13,25},{1,2})","AvGNAR({1,13,25},{1,2})","AvGNAR({1,13,25},{1,2})","AvGNAR({1,13,25},{1,2})","AvGNAR({1,13,25},{1,2})","AvGNAR({1,13,25},{1,2})","AvGNAR({1,13,25},{1,2})","AvGNAR({1,13,25},{1,2})","AvGNAR({1,13,25},{1,2})","AvGNAR({1,13,25},{1,2})","AvGNAR({1,13,25},{1,2})","AvGNAR({2,13,25},{1,2})","AvGNAR({2,13,25},{1,2})","AvGNAR({2,13,25},{1,2})","AvGNAR({2,13,25},{1,2})","AvGNAR({2,13,25},{1,2})","AvGNAR({2,13,25},{1,2})","AvGNAR({2,13,25},{1,2})","AvGNAR({2,13,25},{1,2})","AvGNAR({2,13,25},{1,2})","AvGNAR({2,13,25},{1,2})","AvGNAR({2,13,25},{1,2})","AvGNAR({2,13,25},{1,2})"
,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-12-01,3.110697115761267,3.080674706691967,3.1810872736683584,3.294785466120642,3.271690622101828,3.1716242481425057,2.9758310569834117,3.035662288998609,3.126803663499409,3.1423159664092197,2.922752819859587,2.5249555215180273,3.1641462634080955,3.129681414764734,3.2191830387773117,3.3244010316062647,3.295875730385369,3.1926019539483534,2.9950255241595625,3.053913622493063,3.1445762034816767,3.159842354513207,2.9401310940719796,2.5422096229302897,3.095442763398746,3.0764170128590718,3.1747266609657596,3.390342031360239,3.374989158182251,3.2583043499080375,3.112649746441635,3.214729451914875,3.27070672490323,3.3124296820955497,3.001135691455025,2.567643561473932,3.1462002190548617,3.134674808677955,3.2267597172987297,3.434700961149862,3.4090959187657837,3.2801942080478774,3.12053038282567,3.207207868402138,3.246777933122575,3.2714574806899672,2.9427946986526017,2.4918500753650794,3.1030699395800068,3.078545859775519,3.177906967317059,3.342563748740441,3.323339890142039,3.214964299025272,3.044240401712523,3.1251958704567424,3.19875519420132,3.227372824252385,2.961944255657306,2.54629954149598,3.1551732412314784,3.1321781117213443,3.2229713780380203,3.379550996378063,3.352485824575577,3.2363980809981157,3.057777953492616,3.130560745447601,3.1956770683021265,3.215649917601587,2.9414628963622906,2.5170298491476846
2010-01-01,3.407606951042714,3.5186708026645035,3.6299111948712643,3.633829593421885,3.5200555451463793,3.2719121606387804,3.321351326483113,3.3749307777118234,3.3546225001529577,3.148151733880534,2.7637497573648413,2.417444475443559,3.4323709247467478,3.5381741268572693,3.6403823444332253,3.637705721991008,3.519711732584259,3.26879669641376,3.3160757966697805,3.367537955270656,3.3448205625559297,3.135480619622444,2.7476906709741633,2.39748720286568,3.4260600851866556,3.551727675417174,3.7253425138360874,3.7216439573892024,3.5376812611262767,3.3578834880530173,3.4664360422464067,3.504066876200541,3.561500742842064,3.3047846158083627,2.9218013161032963,2.573533238140532,3.451901189009405,3.5663714416077164,3.7223839559098617,3.6977314442290834,3.4907228845723464,3.2859168299516988,3.367642549721204,3.376771964929828,3.4041626712765485,3.115972279482991,2.7001631265614403,2.3177650471983906,3.4168335181146845,3.5351992390408378,3.677626854353676,3.6777367754055437,3.5288684031363284,3.314897824345899,3.3938936843647594,3.439498826956182,3.4580616214975106,3.2264681748444484,2.8427755367340684,2.4954888567920457,3.4421360568780766,3.5522727842324926,3.6813831501715435,3.6677185831100463,3.505217308578303,3.277356763182729,3.3418591731954925,3.3721549601002416,3.3744916169162393,3.1257264495527175,2.7239268987678016,2.357626125032035
2010-02-01,3.1654374045921276,3.3231128069030276,3.340772426835281,3.2542438812749404,3.0614453934328196,3.0935976995760357,3.221751388652835,3.2651494302568858,3.091458581556598,2.6881212833951458,2.2747052327320945,2.3101560359224256,3.135478300119395,3.2697634922662115,3.266970745804871,3.1629923805326374,2.955130492910649,2.974191375383866,3.0908253988283065,3.123995852679163,2.9411571241419936,2.5295936327243265,2.1087493959653716,2.1374698678923036,3.097041434243574,3.258427429470735,3.2452623866660413,3.0902259228778592,2.9287454690920853,2.944816818943312,2.986691333599788,3.033193789774632,2.7919725985377295,2.4315083223723035,2.0964615533079938,2.171176435897824,3.056799096286015,3.1922213049390997,3.1595304659630883,2.988126133475632,2.812533153622196,2.815693314946571,2.845340331104575,2.8799466289726845,2.6269507836186476,2.2547003876918272,1.9077679679649402,1.9704333907664815,3.131239419417851,3.2907701181868814,3.2930174067506606,3.1722349020764002,2.995095431262452,3.0192072592596735,3.1042213611263114,3.149171610015759,2.941715590047164,2.5598148028837246,2.185583393020044,2.2406662359101253,3.0961386982027057,3.230992398602656,3.2132506058839794,3.075559257004135,2.883831823266423,2.894942345165219,2.9680828649664406,3.001971240825924,2.7840539538803206,2.392147010208077,2.008258681965156,2.0539516293293927
2010-03-01,3.5601005050719956,3.5717196906996818,3.4791380678100423,3.2357719485815797,3.258081052491691,3.3745883361914513,3.4187344818179803,3.2176126932626943,2.8242545896639917,2.4261409717010882,2.464563787473644,2.264685895926902,3.5643717950547624,3.554266484516019,3.431557783578094,3.157275167495117,3.150077754426373,3.2392051256913663,3.258479627394055,3.0352399751517645,2.622686030713201,2.2083769867024583,2.233590551878636,2.02338428877482,3.5735960011710417,3.568102279465158,3.364686749231687,3.2035115716176374,3.2735863715782862,3.357347423907239,3.417452744621226,3.211629711543574,2.8814008391671577,2.558237822326186,2.6337186620985356,2.408450954670316,3.575070072848852,3.5452951221036066,3.3114681381880415,3.119253404625082,3.158506037470771,3.2121055563030816,3.242848673796916,3.008635817445658,2.651171353915233,2.3020805145455947,2.353048806703406,2.1047337743773658,3.5668482531215187,3.5699109850824198,3.4219124085208645,3.219641760099609,3.2658337120349885,3.365967880049345,3.418093613219604,3.214621202403134,2.8528277144155747,2.4921893970136373,2.54914122478609,2.336568425298609,3.569720933951807,3.549780803309813,3.371512960883068,3.138264286060099,3.1542918959485715,3.2256553409972244,3.2506641505954863,3.0219378962987116,2.6369286923142172,2.2552287506240267,2.2933196792910207,2.0640590315760927
2010-04-01,3.7614101551579195,3.6712038464229337,3.524008233885977,3.511090447882498,3.598108641544112,3.6290751174364515,3.470897058671073,3.1209890663388937,2.847245631417637,2.9012498366188733,2.7127445446969354,2.5692747849853315,3.740765678781068,3.614193517345528,3.4316722210082182,3.388379238018825,3.4492050798749414,3.45749371869082,3.2794971218499334,2.9121649274112875,2.6230372061641747,2.6634321876088127,2.4628850718864572,2.3087740563531516,3.735030800754575,3.531369297254321,3.353503701645639,3.4214310324641724,3.4361852327944624,3.4762845320555926,3.280727091876734,2.886474935051081,2.5418235910745985,2.65048543359887,2.4082052433740744,2.2768912748884107,3.670723404861556,3.42526384226463,3.203065400864276,3.232511810120485,3.2114352996481927,3.2188959752621478,2.9935806763692923,2.5725131196075526,2.2038749207676163,2.2912971790038803,2.030368885520088,1.8828304289387798,3.748220477956247,3.6012865718386275,3.4387559677658075,3.4662607401733347,3.5171469371692865,3.552679824746022,3.375812075273904,3.003732000694987,2.6945346112461177,2.7758676351088716,2.560474894035505,2.423083029936871,3.705744541821311,3.5197286798050786,3.3173688109362467,3.3104455240696553,3.330320189761567,3.3381948469764837,3.136538899109613,2.74233902350942,2.4134560634658957,2.4773646833063467,2.246626978703273,2.095802242645966
2010-05-01,3.351359066566561,3.1313619254781515,3.090333518637132,3.1949213010204858,3.233953661618022,3.0755892427442166,2.7851133462417708,2.5030165388667163,2.547050237733447,2.3015529177103975,2.149545544702648,2.191902061034127,3.2947930815465916,3.0381840818896158,2.9755527395526946,3.0669708425888254,3.098150155305477,2.9354798557684987,2.643136490023322,2.3608715596587913,2.4059252703157235,2.1622741618059815,2.01268076003483,2.0578326821399875,3.2487553631347006,3.034400073104015,2.9636873684952127,2.944442172962791,2.9857252703785164,2.7637628448193072,2.4019929970688083,2.129868116161471,2.195429557798045,1.9445776482881716,1.8487069481667093,2.021117455566904,3.2236021497754606,2.969533968751263,2.874339400511768,2.833491357288672,2.855882259689139,2.616863338092639,2.2397474138046647,1.9539102038151743,2.0073413331842502,1.7458829230302755,1.6408555547019015,1.805471322549792,3.300057214850631,3.0828809992910835,3.0270104435661724,3.069681736991639,3.1098394659982684,2.9196760437817617,2.5935531716552895,2.3164423275140935,2.371239897765746,2.1230652829992844,1.999126246434679,2.1065097583005157,3.2591976156610265,3.0038590253204394,2.924946070032231,2.950231099938749,2.9770162074973077,2.776171596930569,2.4414419519139936,2.157390881736983,2.206633301749987,1.9540785424181284,1.8267681573683665,1.93165200234489
2010-06-01,3.044989677575734,3.0157086252170977,3.1790967100885106,3.2301288123057845,3.059885307675817,2.7643778465363433,2.5291361796672436,2.606765985744063,2.399435274807042,2.222565353099184,2.27351953147006,2.580897752585057,3.0450095488475237,3.006577242089287,3.1580837578926713,3.1987402563373615,3.0199106248874585,2.717436821229876,2.476475344355279,2.5493535918414274,2.3380296473891615,2.1577801469234994,2.2058679131903136,2.5108238912793563,3.040592888998793,2.9743454423970284,2.956436082821712,3.023839284484653,2.7825316084013294,2.463666094077959,2.2206175818434866,2.3307937504417566,2.086246124227747,2.028698841527864,2.214277380615577,2.5325816217318353,3.0446792823273046,2.960665244355029,2.9244853591747346,2.9733044530148,2.7151041753605085,2.3807404650524258,2.1237192809960006,2.2212971937802286,1.9655339239558358,1.8980903993044043,2.07506354646917,2.3859915407941754,3.0427912832872632,2.995027033807063,3.0677663964551116,3.1269840483952187,2.921208458038573,2.6140219703071517,2.3748768807553646,2.46877986809291,2.242840699517395,2.1256320973135243,2.243898456042818,2.556739687158446,3.044844415587414,2.983621243222158,3.0412845585337025,3.0860223546760808,2.8675074001239835,2.5490886431411504,2.3000973126756397,2.3853253928108282,2.151781785672499,2.0279352731139517,2.140465729829742,2.448407716036766
2010-07-01,2.9786287983273763,3.1657600031333923,3.231214728271945,3.0681309682515874,2.787410859596933,2.5349748259861618,2.6008411233904725,2.3819226702659417,2.170826276170605,2.2118989552287447,2.5169003420536122,2.591947731591001,2.9590644682876452,3.12983275301426,3.180701241363227,3.004368259227005,2.7122656658722843,2.4505164994352318,2.5092775027365093,2.285477141314772,2.0716390672174723,2.1119467890522503,2.4179333928955486,2.4954488435690614,2.9635394774081054,3.0151459204948963,3.042419154684786,2.7525613122095316,2.442725810458796,2.2243658167621456,2.311895404582295,2.12959624335245,2.065169681349898,2.23800599531182,2.5750529965205824,2.736751322383037,2.9439704731209884,2.98312820735705,2.999880532848334,2.7003176046863793,2.3822384910074095,2.1569868552686766,2.23905158389981,2.0526917850412745,1.9855771689450818,2.1570154608847276,2.493841906449713,2.6563544107956,2.971084137867741,3.090452961814144,3.1368169414783655,2.91034614023056,2.6150683350278645,2.379670321374154,2.4563682639863833,2.2557594568091957,2.117997978760251,2.2249524752702823,2.545976669287097,2.664349526987019,2.951517470704317,3.056480480185655,3.090290887105781,2.852342931956693,2.5472520784398465,2.3037516773519546,2.3741645433181597,2.1690844631780233,2.028608118081277,2.1344811249684894,2.4558876496726305,2.5759016271823305
