,"AvGNAR({1,13,25},{1})","AvGNAR({1,13,25},{1})","AvGNAR({1,13,25},{1})","AvGNAR({1,13,25},{1})","AvGNAR({1,13,25},{1})","AvGNAR({1,13,25},{1})","AvGNAR({1,13,25},{1})","AvGNAR({1,13,25},{1})","AvGNAR({1,13,25},{1})","AvGNAR({1,13,25},{1})","AvGNAR({1,13,25},{1})","AvGNAR({1,13,25},{1})","AvGNAR({2,13,25},{1})","AvGNAR({2,13,25},{1})","AvGNAR({2,13,25},{1})","AvGNAR({2,13,25},{1})","AvGNAR({2,13,25},{1})","AvGNAR({2,13,25},{1})","AvGNAR({2,13,25},{1})","AvGNAR({2,13,25},{1})","AvGNAR({2,13,25},{1})","AvGNAR({2,13,25},{1})","AvGNAR({2,13,25},{1})","AvGNAR({2,13,25},{1})","AvGNAR({1,13,25},{2})","AvGNAR({1,13,25},{2})","AvGNAR({1,13,25},{2})","AvGNAR({1,13,25},{2})","AvGNAR({1,13,25},{2})","AvGNAR({1,13,25},{2})","AvGNAR({1,13,25},{2})","AvGNAR({1,13,25},{2})","AvGNAR({1,13,25},{2})","AvGNAR({1,13,25},{2})","AvGNAR({1,13,25},{2})","AvGNAR({1,13,25},{2})","AvGNAR({2,13,25},{2})","AvGNAR({2,13,25},{2})","AvGNAR({2,13,25},{2})","AvGNAR({2,13,25},{2})","AvGNAR({2,13,25},{2})","AvGNAR({2,13,25},{2})","AvGNAR({2,13,25},{2})","AvGNAR({2,13,25},{2})","AvGNAR({2,13,25},{2})","AvGNAR({2,13,25},{2})","AvGNAR({2,13,25},{2})","AvGNAR({2,13,25},{2})","AvGNAR({1,13,25},{1,2})","AvGNAR({1,13,25},{1,2})","AvGNAR({1,13,25},{1,2})","AvGNAR({1,13,25},{1,2})","AvGNAR({1,13,25},{1,2})","AvGNAR({1,13,25},{1,2})","AvGNAR({1,13,25},{1,2})","AvGNAR({1,13,25},{1,2})","AvGNAR({1,13,25},{1,2})","AvGNAR({1,13,25},{1,2})","AvGNAR({1,13,25},{1,2})","AvGNAR({1,13,25},{1,2})","AvGNAR({2,13,25},{1,2})","AvGNAR({2,13,25},{1,2})","AvGNAR({2,13,25},{1,2})","AvGNAR({2,13,25},{1,2})","AvGNAR({2,13,25},{1,2})","AvGNAR({2,13,25},{1,2})","AvGNAR({2,13,25},{1,2})","AvGNAR({2,13,25},{1,2})","AvGNAR({2,13,25},{1,2})","AvGNAR({2,13,25},{1,2})","AvGNAR({2,13,25},{1,2})","AvGNAR({2,13,25},{1,2})"
,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-12-01,3.105449302594764,3.134326766239411,3.270521576731389,3.3948824513659717,3.3954044988601453,3.338262161985496,3.0814687781290506,3.0797354920661575,2.9913607742490744,2.8157517687368405,2.493791865705918,2.0348590578927364,3.1481760659031397,3.1601866037612787,3.273098894959747,3.3776296229649385,3.3629867060011343,3.294825919553432,3.0304128681258233,3.023778673796927,2.9326527801513493,2.7559762061337807,2.434253116891671,1.9765540212326904,3.215300784014931,3.267371098612866,3.4553896033468057,3.6081368702046923,3.638331360344658,3.59380766476446,3.2721726087499063,3.1780183966428504,3.093848809934981,2.827053585842327,2.4681817168769795,1.8697953787895034,3.267235210362946,3.3039078567021485,3.4625566310917573,3.5863324990508034,3.5912582160373923,3.5255601746598075,3.1865017652011525,3.078190046972338,2.9826566609231406,2.7068687688990476,2.3410066702740324,1.7373139056220033,3.1603750433048474,3.2008489324261387,3.362955590039098,3.5015096607853327,3.5168679296024017,3.466034913374978,3.176820693439479,3.128876944354504,3.0426047920920283,2.821402677289584,2.4809867912914485,1.9523272183411198,3.2077056381330427,3.232047230231714,3.3678277630257525,3.4819810610078714,3.4771224610192633,3.41019304710662,3.108457316663488,3.0509843603846325,2.9576547205372443,2.7314224875164137,2.3876298935828513,1.8569339634273472
2010-01-01,3.4755937561831716,3.598716341705346,3.66980845190386,3.658611182202303,3.5512173234210653,3.235406473979605,3.2062048541524484,3.016388827729145,2.8170902082489477,2.5039070862280135,2.080458020554151,1.744894916599985,3.460270718756236,3.5411095964766033,3.5731720520951296,3.531768577950942,3.402592185606332,3.07197982884968,3.0335289961804484,2.838806307304542,2.637959640717233,2.325797068541299,1.9053062176747453,1.5741368780363032,3.4402689984183166,3.541700782611065,3.62847029988234,3.61425346573672,3.54102210531877,3.259627072834011,3.2519384178958775,3.166046841885193,2.95425462356509,2.583791659992999,2.04474872508058,1.6536216119654756,3.501014084617758,3.628288744345337,3.7298937712576894,3.7256846900793366,3.6594169870671753,3.3827192946196423,3.377916416703014,3.2934467952466613,3.081901830860741,2.710761989499243,2.1703364943578576,1.777311140495404,3.4579313773007443,3.570208562158205,3.6491393758931,3.6364323239695118,3.5461197143699184,3.247516773406808,3.229071636024163,3.091217834807169,2.8856724159070186,2.5438493731105063,2.062603372817366,1.6992582642827305,3.4806424016869975,3.58469917041097,3.65153291167641,3.628726634015139,3.531004586336754,3.227349561734661,3.205722706441731,3.0661265512756017,2.859930735788987,2.518279529020271,2.0378213560163014,1.6757240092658536
2010-02-01,3.079724547874227,3.14125279191317,3.1308263071498943,3.068638366393516,2.7778749549436754,2.7537127112533493,2.6114838580827633,2.48669461032974,2.239207868955683,1.8168797622850894,1.4084463274215333,1.4490939527249393,3.0372691381557644,3.0728820071273737,3.043697531946467,2.9677482655183147,2.6672042546624666,2.6364790220154846,2.490272273810542,2.363566250084155,2.1157931536596974,1.6944568114461378,1.2880058847692577,1.3313928378588047,3.0767836950841816,3.157434490572959,3.185643275258851,3.1353310483823726,2.8709624084022507,2.87541113535017,2.8515344602315444,2.7246585454253087,2.43891272115469,1.9653026689016964,1.6154146253738777,1.7115285651492755,3.027210367064681,3.093321585644667,3.115499005739603,3.0615156994840205,2.7944236335418626,2.7967872401877103,2.771378767514335,2.643479698439082,2.357176576486203,1.8834287569628534,1.533774219129403,1.6304445919802077,3.0782541214792047,3.149343641243064,3.158234791204373,3.101984707387944,2.824418681672963,2.81456192330176,2.7315091591571536,2.605676577877524,2.3390602950551864,1.8910912155933925,1.5119304763977057,1.5803112589371076,3.0322397526102223,3.08310179638602,3.0795982688430352,3.0146319825011676,2.730813944102165,2.7166331311015974,2.6308255206624387,2.5035229742616187,2.2364848650729505,1.7889427842044954,1.4108900519493304,1.4809187149195064
2010-03-01,3.4686174887515246,3.4800290385539263,3.409430573483853,3.101986533270461,3.065783385030238,2.9133045861822375,2.759766412478799,2.489560435792224,2.0317959738848477,1.6301107407578652,1.6722192200649644,1.4769722062963828,3.487321793374052,3.490686872961296,3.4076324507528546,3.0881460916687344,3.0413211802858946,2.879725705699109,2.7184630211914027,2.441781212157562,1.9786515290074211,1.5725864917331014,1.611188266832564,1.4132070817969857,3.4821691486125954,3.5206699483462107,3.446831955478101,3.171703749208811,3.1742417033563846,3.1437177344645106,2.983903516447107,2.66641494355266,2.1654530222950163,1.807633066326293,1.894895074786452,1.7514489078422202,3.503113544095156,3.5309766706305887,3.442242164814713,3.1532676314170938,3.144398759398913,3.104832588604744,2.9380791047900665,2.6154417808233927,2.1108418001921203,1.7506470430592422,1.8365835437284206,1.6926763036653483,3.4753933186820603,3.5003494934500687,3.4281312644809767,3.1368451412396356,3.1200125441933113,3.0285111603233745,2.8718349644629533,2.577987689672442,2.098624498089932,1.7188719035420794,1.7835571474257084,1.6142105570693015,3.4952176687346035,3.5108317717959423,3.4249373077837837,3.120706861542914,3.092859969842404,2.9922791471519274,2.828271062990735,2.5286114964904773,2.044746664599771,1.6616167673961721,1.7238859052804922,1.5529416927311672
2010-04-01,3.7613536995513392,3.708734445405179,3.3880872463587153,3.3285523111503665,3.1575416669089678,2.9828726626467144,2.698978004359143,2.236785928677295,1.8053979899201626,1.8879184234372817,1.700434348107277,1.6638169346489746,3.7749308310231697,3.710118833548942,3.3734835579265705,3.2989768255861414,3.11485981791809,2.928964220506169,2.635557791723429,2.165386186877617,1.7273796822769787,1.8044884684726075,1.612661946898246,1.5726482800611812,3.7621598492678263,3.6637875229322585,3.3423152285786473,3.333688151474783,3.2927949289016056,3.1395355025295846,2.813948448548679,2.2900742251978223,1.927881809655413,2.003220934784566,1.865258794974407,1.823801600476332,3.780138112419692,3.6426946538434835,3.2777665241036877,3.23118193346918,3.1605728889756737,2.9853258773523677,2.644263130337241,2.110165642935201,1.7419012525408564,1.8144110541064202,1.676127821169086,1.636269867151551,3.7617567744095832,3.686260984168719,3.365201237468682,3.331120231312575,3.2251682979052863,3.0612040825881492,2.7564632264539113,2.263430076937559,1.8666398997877875,1.945569679110924,1.7828465715408421,1.7438092675626533,3.777534471721431,3.6764067436962127,3.3256250410151296,3.265079379527661,3.1377163534468817,2.9571450489292683,2.6399104610303357,2.137775914906409,1.7346404674089173,1.809449761289514,1.6443948840336657,1.6044590736063664
2010-05-01,3.3832217948967176,3.0515817659231597,2.99998082864447,2.82985254372977,2.6559716485557314,2.354519236752606,1.937410028331571,1.5322800126606173,1.626037037937688,1.4413474092496108,1.4030073597538548,1.5686894608420372,3.355243446424506,3.005448982568517,2.9407750199399683,2.760481053851008,2.578579892983624,2.270840686931128,1.8489047445709972,1.4401917104417128,1.5314279406760836,1.3451240324065667,1.3059416753223168,1.471436871485806,3.3757097904562214,3.042832583558445,3.030251160636523,2.9924930966317276,2.843383929773793,2.539365682104624,2.0745685510203646,1.7378038919488663,1.8419190474394946,1.6872646169120362,1.6173811679122465,1.773035984911982,3.311644787098254,2.9343095259088465,2.8842210608187386,2.816428105786836,2.64458586588122,2.32442731442401,1.8491733109697754,1.5066697578527652,1.6088763617835065,1.4553592061374827,1.3889880856332526,1.549966149024811,3.3794657926764695,3.047207174740802,3.0151159946404964,2.9111728201807487,2.749677789164762,2.446942459428615,2.0059892896759677,1.635041952304742,1.7339780426885911,1.5643060130808235,1.5101942638330506,1.6708627228770094,3.3334441167613797,2.9698792542386823,2.912498040379353,2.788454579818922,2.611582879432422,2.297634000677569,1.849039027770386,1.4734307341472392,1.570152151229795,1.4002416192720248,1.3474648804777845,1.510701510255308
2010-06-01,2.9008498421054933,2.8500626304327263,2.7138541382870662,2.5300733007765146,2.222450329051878,1.8014334596036683,1.435207661768259,1.5583428826554033,1.4044743327468432,1.3875781480340843,1.5929535494450722,1.9657395346775424,2.8814291587266996,2.819613784709707,2.674834915257423,2.483976603003033,2.170462457793102,1.7445958246977942,1.3744364078566438,1.4944471363391443,1.3381673875351723,1.3194883531553676,1.523633525991172,1.895674370358232,2.901209441444749,2.906263687348995,2.8844342087469674,2.736482574224485,2.4392673207354973,1.9914087702852499,1.6882879913640332,1.8173562222710624,1.6772909084555405,1.6085811112515678,1.760209296231559,2.085767068977322,2.880092502603181,2.8725067491977234,2.8421758572814664,2.6878951277929954,2.3861481143965926,1.9352003406973015,1.6302231822057651,1.758475595604481,1.6184722609817512,1.5505549700472867,1.7035745791096988,2.031004929160128,2.901029641775121,2.8781631588908607,2.7991441735170173,2.6332779375004995,2.3308588248936877,1.8964211149444592,1.5617478265661457,1.6878495524632326,1.5408826206011923,1.4980796296428263,1.6765814228383153,2.025753301827432,2.88076083066494,2.846060266953715,2.758505386269445,2.5859358653980142,2.278305286094848,1.8398980826975482,1.5023297950312047,1.6264613659718128,1.478319824258462,1.4350216616013272,1.6136040525504356,1.9633396497591802
2010-07-01,3.008977822698603,3.0266296249540776,2.9155624441275827,2.5848197982265,2.10957968860077,1.8074420914143963,1.8949847312450927,1.7621080304610255,1.653468601209868,1.7299567734696712,2.027808997657173,2.2280083174345386,2.986699082619729,2.993977715701734,2.8758520210912804,2.5396253499278783,2.059962201714645,1.7542669641024755,1.8389979007017938,1.703962201531004,1.593736590414258,1.669141069754363,1.9663496202147897,2.1662895937702893,2.976701153942951,2.963034816129601,2.8940252624234315,2.601410178996805,2.179585274477761,1.9297820311585652,2.060260813163248,1.9569679603343009,1.9156293949974368,2.093422104533183,2.4370080251966137,2.7196310852219745,2.952941847474396,2.92904351026748,2.8541296080669114,2.557677552938974,2.133345762648618,1.8820698164457808,2.011942742183946,1.9087818896565956,1.8681999335888682,2.047269822410565,2.392557831948655,2.6772209045294737,2.992839488320777,2.9948322205418396,2.9047938532755073,2.593114988611653,2.144582481539265,1.8686120612864805,1.9776227722041704,1.8595379953976632,1.7845489981036524,1.911689439001427,2.2324085114268932,2.4738197013282566,2.9698204650470625,2.961510612984607,2.8649908145790963,2.5486514514334266,2.0966539821816315,1.8181683902741284,1.9254703214428701,1.8063720455937997,1.7309682620015632,1.858205446082464,2.179453726081722,2.4217552491498813
