,"GNAR(p,1)","GNAR(p,1)","GNAR(p,1)","GNAR(p,1)","GNAR(p,1)","GNAR(p,1)","GNAR(p,1)","GNAR(p,1)","GNAR(p,1)","GNAR(p,1)","GNAR(p,1)","GNAR(p,1)","GNAR(p,2)","GNAR(p,2)","GNAR(p,2)","GNAR(p,2)","GNAR(p,2)","GNAR(p,2)","GNAR(p,2)","GNAR(p,2)","GNAR(p,2)","GNAR(p,2)","GNAR(p,2)","GNAR(p,2)","GNAR(p,s)","GNAR(p,s)","GNAR(p,s)","GNAR(p,s)","GNAR(p,s)","GNAR(p,s)","GNAR(p,s)","GNAR(p,s)","GNAR(p,s)","GNAR(p,s)","GNAR(p,s)","GNAR(p,s)"
,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-12-01,2.8285806649233063,2.74116807373012,2.6610714507965794,2.587679163761444,2.520430674932638,2.458812273794962,2.4023531661906268,2.350621890301385,2.3032230320727516,2.259794215019898,2.220003341459475,2.1835460641384383,2.8174929557582775,2.7210719640308527,2.633753445526077,2.5546696532655933,2.483036310226485,2.418144515352889,2.359353439966568,2.3060837369287044,2.257811592571191,2.214063358321839,2.174410705169697,2.1384662497221356,2.8285806649233063,2.74116807373012,2.6610714507965794,2.587679163761444,2.520430674932638,2.458812273794962,2.4023531661906268,2.350621890301385,2.3032230320727516,2.259794215019898,2.220003341459475,2.1835460641384383
2010-01-01,3.2797528934676428,3.1551259236025606,3.040949321687485,2.9363493628738766,2.840525076679142,2.7527422220751787,2.672327757803185,2.5986647676185233,2.5311878034031654,2.4693786120625094,2.4127622148675036,2.3609033104302246,3.305229980991676,3.202655600197307,3.107431120215274,3.0189828073297216,2.9367868288721573,2.860364438538823,2.7892776628638125,2.7231254343880753,2.6615401230921987,2.6041844230188516,2.55074855577325,2.5009477568229177,3.2797528934676428,3.1551259236025606,3.040949321687485,2.9363493628738766,2.840525076679142,2.7527422220751787,2.672327757803185,2.5986647676185233,2.5311878034031654,2.4693786120625094,2.4127622148675036,2.3609033104302246
2010-02-01,2.9384549771078214,2.847217307635181,2.7631009443910965,2.685575354391159,2.61414650018993,2.54835470879936,2.4877726136026204,2.4320031749757383,2.380677783541735,2.333454448487532,2.2900160721325507,2.250068810914559,2.9197766043618647,2.813475080122747,2.7173838085861046,2.6305147370779305,2.5519760852698683,2.480962906673599,2.416748580544656,2.358677142044005,2.3061563676698307,2.2586515412216475,2.2156798329856078,2.176805231515993,2.9384549771078214,2.847217307635181,2.7631009443910965,2.685575354391159,2.61414650018993,2.54835470879936,2.4877726136026204,2.4320031749757383,2.380677783541735,2.333454448487532,2.2900160721325507,2.250068810914559
2010-03-01,3.2582902626796173,3.1456644497821253,3.041453547407776,2.945071927711491,2.8559693763136673,2.773629661245128,2.697569051062513,2.6273348051924326,2.5625036555759304,2.502680295255306,2.447495886602351,2.39660659936821,3.2791096670352253,3.1845632915844533,3.095935915528546,3.0128708750533977,2.9350319992577685,2.862102492176417,2.7937838742927696,2.729794980008784,2.6698710078423193,2.6137626203870945,2.561235091302569,2.5120674968054044,3.2582902626796173,3.1456644497821253,3.041453547407776,2.945071927711491,2.8559693763136673,2.773629661245128,2.697569051062513,2.6273348051924326,2.5625036555759304,2.502680295255306,2.447495886602351,2.39660659936821
2010-04-01,3.5671229138251688,3.425623570820715,3.295466395588231,3.1757592178462772,3.065678136629378,2.9644625143394747,2.8714103123000987,2.7858737476399043,2.7072552521140585,2.6350037142855984,2.568610987321186,2.50760864549593,3.5989242918305218,3.4846698805411,3.3776796150923394,3.2774967270866533,3.1836930964311865,3.0958674195927207,3.013643502481409,2.936668668399375,2.8646122723484098,2.797164313761126,2.734034140411705,2.6749492368844803,3.5671229138251688,3.425623570820715,3.295466395588231,3.1757592178462772,3.065678136629378,2.9644625143394747,2.8714103123000987,2.7858737476399043,2.7072552521140585,2.6350037142855984,2.568610987321186,2.50760864549593
2010-05-01,3.3350055144149606,3.209261092965829,3.094033564070892,2.9884466859841536,2.8916968560315937,2.803047128742449,2.7218217223022685,2.647400973925119,2.579216707872161,2.516747982730407,2.459517187227109,2.4070864563089587,3.358395198048117,3.2527890909341215,3.1547737731289347,3.0637713791329553,2.9792515831485664,2.900727336848885,2.8277510200587326,2.7599109619900113,2.696828295175295,2.6381541082578055,2.5835668673762116,2.532770079076137,3.3350055144149606,3.209261092965829,3.094033564070892,2.9884466859841536,2.8916968560315937,2.803047128742449,2.7218217223022685,2.647400973925119,2.579216707872161,2.516747982730407,2.459517187227109,2.4070864563089587
2010-06-01,3.1231262318643456,3.0244849098056106,2.9330881553680213,2.848448615625751,2.7701060104823285,2.6976264247631727,2.6306014845500427,2.568647446937199,2.5114042277905226,2.458534388114452,2.4097220961992987,2.3646720797645817,3.1484920153924216,3.071768900071273,2.9991694904423967,2.9305095753013073,2.8656094039937265,2.804294015545362,2.74639350114213,2.6917432068821707,2.6401838832285716,2.5915617871119014,2.5457287421681256,2.5025421621529285,3.1231262318643456,3.0244849098056106,2.9330881553680213,2.848448615625751,2.7701060104823285,2.6976264247631727,2.6306014845500427,2.568647446937199,2.5114042277905226,2.458534388114452,2.4097220961992987,2.3646720797645817
2010-07-01,2.9118805700929453,2.8310596481318853,2.756008877248853,2.6863679423863855,2.6217919208501845,2.5619517414838056,2.506534401218244,2.4552429829314164,2.407796512162108,2.363929684677024,2.3233924920823563,2.285949768509655,2.9289573222425735,2.863438294074766,2.8019876928504033,2.7443290529398134,2.690208610966309,2.6393929722792664,2.591667055935635,2.5468322830688583,2.504704977965035,2.465114955054486,2.4279042684302183,2.392926103482252,2.9118805700929453,2.8310596481318853,2.756008877248853,2.6863679423863855,2.6217919208501845,2.5619517414838056,2.506534401218244,2.4552429829314164,2.407796512162108,2.363929684677024,2.3233924920823563,2.285949768509655
