,"GNAR(p,1)","GNAR(p,1)","GNAR(p,1)","GNAR(p,1)","GNAR(p,1)","GNAR(p,1)","GNAR(p,1)","GNAR(p,1)","GNAR(p,1)","GNAR(p,1)","GNAR(p,1)","GNAR(p,1)","GNAR(p,2)","GNAR(p,2)","GNAR(p,2)","GNAR(p,2)","GNAR(p,2)","GNAR(p,2)","GNAR(p,2)","GNAR(p,2)","GNAR(p,2)","GNAR(p,2)","GNAR(p,2)","GNAR(p,2)","GNAR(p,s)","GNAR(p,s)","GNAR(p,s)","GNAR(p,s)","GNAR(p,s)","GNAR(p,s)","GNAR(p,s)","GNAR(p,s)","GNAR(p,s)","GNAR(p,s)","GNAR(p,s)","GNAR(p,s)"
,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-12-01,2.778737596085191,2.6512543114163103,2.540479772119432,2.4449621925191636,2.363087700616565,2.2932286355930587,2.2338309900354614,2.183462216214718,2.1408334364029313,2.1048054719466798,2.074385006010969,2.0487150864783104,2.831429809257808,2.7559018613553534,2.694466526045346,2.6449989608946423,2.6058213895313744,2.575552056453873,2.5530372107855843,2.5373149929180085,2.5275905274311237,2.5232145866139324,2.52366355354516,2.5285204209354224,2.778737596085191,2.6512543114163103,2.540479772119432,2.4449621925191636,2.363087700616565,2.2932286355930587,2.2338309900354614,2.183462216214718,2.1408334364029313,2.1048054719466798,2.074385006010969,2.0487150864783104
2010-01-01,3.262684403530476,3.12999823009359,3.0162948848385427,2.919782177370288,2.838542884010542,2.770681330050147,2.7144101335045354,2.6680969110170794,2.6302846177203816,2.5996950502284166,2.5752220850640186,2.5559191087682063,3.3848399221498204,3.362494695399697,3.3485577419861157,3.3428164499798654,3.3449868613503972,3.3547354413275463,3.371718368018432,3.395616779249817,3.4261614703464893,3.463146946438833,3.506436987356851,3.5559642950677706,3.262684403530476,3.12999823009359,3.0162948848385427,2.919782177370288,2.838542884010542,2.770681330050147,2.7144101335045354,2.6680969110170794,2.6302846177203816,2.5996950502284166,2.5752220850640186,2.5559191087682063
2010-02-01,2.9758025997233495,2.9184040390847006,2.866711538920368,2.8212161306900017,2.7818100566797406,2.748061218395857,2.719385328052135,2.6951513570985597,2.674743466657472,2.6575948098926903,2.643203469588842,2.631137356802762,3.0069385698540705,2.9788792426666086,2.9549171514386607,2.935662639417246,2.9211741674597396,2.9112444486536617,2.905555490670149,2.903762959669109,2.9055405746387732,2.910601410103285,2.9187058867159252,2.9296622957630216,2.9758025997233495,2.9184040390847006,2.866711538920368,2.8212161306900017,2.7818100566797406,2.748061218395857,2.719385328052135,2.6951513570985597,2.674743466657472,2.6575948098926903,2.643203469588842,2.631137356802762
2010-03-01,3.338292280865038,3.2904345635376457,3.2401977381961906,3.1898932131633173,3.1408699170391143,3.0938625157412396,3.0492180433717158,3.007044332543169,2.967307130738809,2.9298931594345174,2.8946504549161376,2.8614135568748624,3.428290453149357,3.4654783541166125,3.495459141081395,3.520669391346381,3.5426109564990975,3.562208842126444,3.5800371960284965,3.596461495460688,3.6117270702939708,3.6260132668688043,3.6394657261511703,3.6522148565694783,3.338292280865038,3.2904345635376457,3.2401977381961906,3.1898932131633173,3.1408699170391143,3.0938625157412396,3.0492180433717158,3.007044332543169,2.967307130738809,2.9298931594345174,2.8946504549161376,2.8614135568748624
2010-04-01,3.6808608911843725,3.639139489108126,3.5972570120524026,3.556063724707105,3.5160199179260045,3.477349533767034,3.4401351495600316,3.404377218173132,3.3700311427116376,3.3370303681443487,3.3053005340477113,3.2747678701428136,3.747696220110916,3.7652612356283965,3.776528860011706,3.783222100135488,3.7863658238554203,3.7865872195139176,3.784295844771504,3.7797885410470897,3.7733085035686216,3.7650768127908307,3.755307743815655,3.7442148050444417,3.6808608911843725,3.639139489108126,3.5972570120524026,3.556063724707105,3.5160199179260045,3.477349533767034,3.4401351495600316,3.404377218173132,3.3700311427116376,3.3370303681443487,3.3053005340477113,3.2747678701428136
2010-05-01,3.342641029792688,3.223913664643267,3.116269797870577,3.0193269453121867,2.9323704462160167,2.854526864460696,2.78487086745126,2.72248977548281,2.666520892876247,2.6161713050965414,2.5707264622393016,2.5295517206628957,3.399581872493941,3.330102335314321,3.266200439304769,3.2087446435040547,3.1577362051819704,3.1127232766804376,3.0730488976545125,3.037995721567524,3.006866768933771,2.979026911711679,2.9539206690826516,2.9310761330934927,3.342641029792688,3.223913664643267,3.116269797870577,3.0193269453121867,2.9323704462160167,2.854526864460696,2.78487086745126,2.72248977548281,2.666520892876247,2.6161713050965414,2.5707264622393016,2.5295517206628957
2010-06-01,3.2308790380387036,3.209162855582439,3.1723714238311422,3.12605637523873,3.0740802310850897,3.019123282436903,2.9630322254904513,2.9070636727164136,2.85205613756255,2.798552421824495,2.746887111231774,2.697249263001496,3.288004916580621,3.3128518606294377,3.315786450228795,3.3044776152761246,3.2839640079396384,3.2575659383962234,3.227477123802399,3.1951509136902176,3.161553278349287,3.127328872025786,3.092910148449774,3.058589071905434,3.2308790380387036,3.209162855582439,3.1723714238311422,3.12605637523873,3.0740802310850897,3.019123282436903,2.9630322254904513,2.9070636727164136,2.85205613756255,2.798552421824495,2.746887111231774,2.697249263001496
2010-07-01,3.00537233584456,2.988874211380492,2.9570783348489345,2.9154062827220075,2.8676775233762286,2.8165833597824794,2.764013570429802,2.7112850709889402,2.6593038661480284,2.6086807574944126,2.559814542824973,2.512952112892459,3.062521654901633,3.085915032794207,3.082219386042393,3.060506800399467,3.0270265945669963,2.9860902110315664,2.9406754371588786,2.892839614963715,2.8440027798767957,2.795142129099388,2.7469259461267312,2.6998061078578424,3.00537233584456,2.988874211380492,2.9570783348489345,2.9154062827220075,2.8676775233762286,2.8165833597824794,2.764013570429802,2.7112850709889402,2.6593038661480284,2.6086807574944126,2.559814542824973,2.512952112892459
