,"GNAR(p,1)","GNAR(p,1)","GNAR(p,1)","GNAR(p,1)","GNAR(p,1)","GNAR(p,1)","GNAR(p,1)","GNAR(p,1)","GNAR(p,1)","GNAR(p,1)","GNAR(p,1)","GNAR(p,1)","GNAR(p,2)","GNAR(p,2)","GNAR(p,2)","GNAR(p,2)","GNAR(p,2)","GNAR(p,2)","GNAR(p,2)","GNAR(p,2)","GNAR(p,2)","GNAR(p,2)","GNAR(p,2)","GNAR(p,2)","GNAR(p,s)","GNAR(p,s)","GNAR(p,s)","GNAR(p,s)","GNAR(p,s)","GNAR(p,s)","GNAR(p,s)","GNAR(p,s)","GNAR(p,s)","GNAR(p,s)","GNAR(p,s)","GNAR(p,s)"
,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-12-01,2.86631476811712,2.8100015023573377,2.7554918596329547,2.703077505840905,2.6529307241424,2.6051371158224628,2.559719933121044,2.5166581832109576,2.4759000794040746,2.4373730091529833,2.400990891344337,2.366659576230991,2.8524189065703944,2.7885742758829313,2.7313407822964932,2.679815356493604,2.6332518087459937,2.5910285271452316,2.5526235284122296,2.5175950989363733,2.4855666956128424,2.456215102289304,2.4292610831879147,2.4044619591944714,2.86631476811712,2.8100015023573377,2.7554918596329547,2.703077505840905,2.6529307241424,2.6051371158224628,2.559719933121044,2.5166581832109576,2.4759000794040746,2.4373730091529833,2.400990891344337,2.366659576230991
2010-01-01,3.339465301347171,3.264848695031643,3.192429457232625,3.1225375735016527,3.0553788180706647,2.991066337898917,2.9296446240090606,2.8711077510962317,2.815413267614241,2.7624927670493746,2.7122599175972724,2.6646165411459606,3.3218092988902757,3.2345677971905324,3.1528952084625663,3.076165244173591,3.0040146409177644,2.936201874918349,2.8725365581468814,2.812845919518245,2.756960352240638,2.7047084460433077,2.6559164756844917,2.610409759733775,3.339465301347171,3.264848695031643,3.192429457232625,3.1225375735016527,3.0553788180706647,2.991066337898917,2.9296446240090606,2.8711077510962317,2.815413267614241,2.7624927670493746,2.7122599175972724,2.6646165411459606
2010-02-01,2.9826940942439,2.9289111529817893,2.8764196089175966,2.8254883907734447,2.776297445465051,2.728958977804306,2.6835339259171924,2.6400447220723797,2.5984851596903855,2.558828007640492,2.5210308721976142,2.485040696939585,2.9588569429483487,2.887892506140397,2.8232928856600648,2.7641220097461776,2.7096417063149865,2.659264271918158,2.6125167556674365,2.5690140526332064,2.5284386218277355,2.490525185707733,2.455049175589637,2.4218179938202047,2.9826940942439,2.9289111529817893,2.8764196089175966,2.8254883907734447,2.776297445465051,2.728958977804306,2.6835339259171924,2.6400447220723797,2.5984851596903855,2.558828007640492,2.5210308721976142,2.485040696939585
2010-03-01,3.319424064319561,3.2593539426590716,3.200178302125167,3.142224948516154,3.085734472886284,3.030877682739796,2.977770136378104,2.9264840298800223,2.877057796787101,2.8295037940948227,2.7838144184512785,2.7399669509080664,3.300519907907332,3.2191784306630478,3.1390981372530646,3.0619181672466187,2.9884326251715905,2.9189690254453065,2.8535981841178524,2.7922511857061325,2.7347849309544814,2.681019093004619,2.630757073359078,2.583797930551672,3.319424064319561,3.2593539426590716,3.200178302125167,3.142224948516154,3.085734472886284,3.030877682739796,2.977770136378104,2.9264840298800223,2.877057796787101,2.8295037940948227,2.7838144184512785,2.7399669509080664
2010-04-01,3.647606011045842,3.57518107841976,3.504054569931217,3.4345294721771076,3.3668292416513985,3.3011126515482547,3.237486506796788,3.176016262352565,3.11673475008065,3.0596492757780016,3.0047473489024785,2.9520012842609797,3.62997982156282,3.535862264915951,3.4422999983426386,3.3513265345549597,3.26401758868311,3.1809011054071004,3.102189080632812,3.0279100138828166,2.957985591528799,2.892275795435865,2.830605926454405,2.7727831127476104,3.647606011045842,3.57518107841976,3.504054569931217,3.4345294721771076,3.3668292416513985,3.3011126515482547,3.237486506796788,3.176016262352565,3.11673475008065,3.0596492757780016,3.0047473489024785,2.9520012842609797
2010-05-01,3.399884463423873,3.3292434604173655,3.2605703093504,3.194060710073231,3.129847925902888,3.0680144598813355,3.0086021461965298,2.951620655026297,2.8970545438460116,2.8448690377224817,2.795014728127001,2.747431367124597,3.380777902161908,3.2884236338383683,3.1981534277247503,3.1115257062092763,3.0292936844640574,2.951758073046178,2.878965509336283,2.8108209811053277,2.747152070458891,2.687746033746803,2.6323714339244124,2.5807908894753187,3.399884463423873,3.3292434604173655,3.2605703093504,3.194060710073231,3.129847925902888,3.0680144598813355,3.0086021461965298,2.951620655026297,2.8970545438460116,2.8448690377224817,2.795014728127001,2.747431367124597
2010-06-01,3.1762492697633493,3.1233443302159634,3.071133451676103,3.0198742405123626,2.9697675251354134,2.920965350218837,2.8735788528435817,2.8276854267696265,2.783334964774083,2.7405551604517777,2.6993559392330955,2.6597331226383574,3.165396190487413,3.0935357385229203,3.0198092975951454,2.947365017795338,2.8778322523747777,2.811992226641342,2.7501544968562786,2.692368634588017,2.638543484537473,2.588514471420766,2.5420816281666743,2.499031066480485,3.1762492697633493,3.1233443302159634,3.071133451676103,3.0198742405123626,2.9697675251354134,2.920965350218837,2.8735788528435817,2.8276854267696265,2.783334964774083,2.7405551604517777,2.6993559392330955,2.6597331226383574
2010-07-01,2.9525122056668227,2.9064408881042008,2.8609519262697596,2.816300089164848,2.772683247289253,2.7302507225092683,2.689111289291902,2.649340359189078,2.6109862008602747,2.574075206664655,2.5386162886276264,2.50460451268724,2.937763084140812,2.8722134041066516,2.8065452905745123,2.74300756397984,2.682685638239186,2.6260257750822174,2.5731283871639823,2.523911690295815,2.4782026133041053,2.435786930615673,2.3964365680768798,2.3599241590253084,2.9525122056668227,2.9064408881042008,2.8609519262697596,2.816300089164848,2.772683247289253,2.7302507225092683,2.689111289291902,2.649340359189078,2.6109862008602747,2.574075206664655,2.5386162886276264,2.50460451268724
