,"GNAR(1,1)","GNAR(1,1)","GNAR(1,1)","GNAR(1,1)","GNAR(1,1)","GNAR(1,1)","GNAR(1,1)","GNAR(1,1)","GNAR(1,1)","GNAR(1,1)","GNAR(1,1)","GNAR(1,1)","GNAR(1,2)","GNAR(1,2)","GNAR(1,2)","GNAR(1,2)","GNAR(1,2)","GNAR(1,2)","GNAR(1,2)","GNAR(1,2)","GNAR(1,2)","GNAR(1,2)","GNAR(1,2)","GNAR(1,2)","GNAR(2,1)","GNAR(2,1)","GNAR(2,1)","GNAR(2,1)","GNAR(2,1)","GNAR(2,1)","GNAR(2,1)","GNAR(2,1)","GNAR(2,1)","GNAR(2,1)","GNAR(2,1)","GNAR(2,1)","GNAR(2,2)","GNAR(2,2)","GNAR(2,2)","GNAR(2,2)","GNAR(2,2)","GNAR(2,2)","GNAR(2,2)","GNAR(2,2)","GNAR(2,2)","GNAR(2,2)","GNAR(2,2)","GNAR(2,2)","GNAR(12,1)","GNAR(12,1)","GNAR(12,1)","GNAR(12,1)","GNAR(12,1)","GNAR(12,1)","GNAR(12,1)","GNAR(12,1)","GNAR(12,1)","GNAR(12,1)","GNAR(12,1)","GNAR(12,1)","GNAR(12,2)","GNAR(12,2)","GNAR(12,2)","GNAR(12,2)","GNAR(12,2)","GNAR(12,2)","GNAR(12,2)","GNAR(12,2)","GNAR(12,2)","GNAR(12,2)","GNAR(12,2)","GNAR(12,2)","GNAR(13,1)","GNAR(13,1)","GNAR(13,1)","GNAR(13,1)","GNAR(13,1)","GNAR(13,1)","GNAR(13,1)","GNAR(13,1)","GNAR(13,1)","GNAR(13,1)","GNAR(13,1)","GNAR(13,1)","GNAR(13,2)","GNAR(13,2)","GNAR(13,2)","GNAR(13,2)","GNAR(13,2)","GNAR(13,2)","GNAR(13,2)","GNAR(13,2)","GNAR(13,2)","GNAR(13,2)","GNAR(13,2)","GNAR(13,2)","GNAR(25,1)","GNAR(25,1)","GNAR(25,1)","GNAR(25,1)","GNAR(25,1)","GNAR(25,1)","GNAR(25,1)","GNAR(25,1)","GNAR(25,1)","GNAR(25,1)","GNAR(25,1)","GNAR(25,1)","GNAR(25,2)","GNAR(25,2)","GNAR(25,2)","GNAR(25,2)","GNAR(25,2)","GNAR(25,2)","GNAR(25,2)","GNAR(25,2)","GNAR(25,2)","GNAR(25,2)","GNAR(25,2)","GNAR(25,2)"
,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-12-01,2.822811778557507,2.7309735928396437,2.6475701423007694,2.5717977683283535,2.5029320665586416,2.440319830818389,2.3833718367861163,2.331556376094464,2.284393461229812,2.2414496301689106,2.202333287340489,2.1666905243152064,2.8463660110600935,2.773721379520944,2.7057618050679686,2.642217833153107,2.582831599019419,2.5273568515976876,2.4755588841666416,2.427214388042156,2.382111243408045,2.3400482595030327,2.300834874706747,2.264290825596823,2.8574510816586014,2.762469362292984,2.6711456402668903,2.5881262650139325,2.5128640929026806,2.444683416563765,2.3829178493497136,2.3269609512423344,2.276263284461104,2.2303276445143703,2.188704114272112,2.1509855468610355,2.8864187326243926,2.7903358284879283,2.698459146018667,2.6147332385751545,2.53873879261572,2.46978051389355,2.4072013448044673,2.3504040279129144,2.2988477040122617,2.25204272388663,2.209545759580969,2.170955369834087,2.674712292708217,2.3987385904604275,2.239546012008195,2.1778179098735393,2.1253854972491744,2.0457836921027304,1.9333791341931001,1.9875145690516054,2.0697041969024914,2.117909084538312,2.0443909380751983,1.846669685362924,2.8737833522822998,2.7144407679314533,2.5379383017683206,2.412439193734203,2.3591780481658895,2.3053329258214372,2.111530352296038,2.110111126958346,2.0571416933310265,2.1044900512703317,2.0099493247603593,1.8640108430510147,2.791877858660496,2.5976904028721615,2.6002948166081885,2.745174723008202,2.8022859210828037,2.8897754765182695,2.7440220561414863,2.899078376815954,3.0528741711909353,2.8973233974369004,2.6457941927393556,2.128104907806248,2.8293724721762232,2.646133686984413,2.6640790389034477,2.788477685185255,2.8628179960556963,2.953986189940565,2.78972510788824,2.970540249219062,3.0990523445918714,2.9455461996656167,2.7128820459318894,2.1956539979850316,2.763129699613801,2.491340662155859,2.6176815270134357,2.6846198021684904,2.676883692154022,2.5714757944435545,2.1993087374960885,2.2063366816311225,2.2485012644040037,2.210080364158755,1.924628108663951,1.4987424123889799,2.857446481951018,2.6029838998555705,2.732042487293982,2.811708404691997,2.789469729861618,2.7503588510230172,2.370618099118774,2.3789436119222267,2.4607063300299483,2.430424708742006,2.19312967367788,1.760725522053373
2010-01-01,3.2753856354056587,3.147891969564357,3.032036832944759,2.9266870635984006,2.830827164157679,2.7435463707326706,2.664027207600323,2.5915353514684876,2.5254106504386025,2.4650591615138353,2.409946086927802,2.359589503986137,3.306567046279568,3.2041997639050885,3.1083135210543418,3.0185523368984954,2.9345729306824455,2.8560452618045304,2.782652871467321,2.7140930573833066,2.650076908922052,2.5903292264762316,2.534588345647326,2.4826058840586844,3.2640651659906785,3.12488843108004,2.995270565166357,2.8784066563326887,2.772931036308969,2.6777680922706977,2.5919058200220055,2.514432712508233,2.444526411274425,2.381445437051066,2.3245212122348615,2.2731508751709306,3.3354697959704205,3.1985134600361054,3.069035491023486,2.951195639473198,2.844341159579042,2.747476424650524,2.6596613662782564,2.5800416974263323,2.5078442594492207,2.4423695786431336,2.3829848071161592,2.3291173139229,3.0991279269529812,2.921792601280842,2.8271421873153835,2.7159590362800685,2.6223610957887677,2.45256768643121,2.4373183287197286,2.485924517268592,2.495707539057178,2.437738372409882,2.229074196476249,1.9909261417465018,3.3359505099897477,3.2550961391730353,3.1601951747094175,3.016207212325731,2.8645758130448273,2.6269336288856513,2.6097627487831425,2.5310875326295017,2.5303723888550413,2.457611311801243,2.2396936090206454,2.0922209319248455,3.2116092246211423,3.2256266902321733,3.352519342973115,3.3777634264701404,3.450461287308099,3.266220203726725,3.390792291988992,3.5046528220615003,3.3156200270621725,3.0792754275920315,2.5544451279698825,2.2043874923698255,3.229021673719912,3.2787955469507324,3.3783615218420913,3.407602987584476,3.487354793259114,3.303387429149416,3.4150016213230634,3.505573717441172,3.320373033673106,3.0935782266415464,2.5401226788948406,2.2076894931066664,3.1717539313051537,3.347535789425506,3.4045179342777736,3.3666173386678806,3.2865174566662008,2.917917349391432,2.896997557001965,2.9902663945370334,2.9304674070262977,2.6487996991724727,2.1987154609589297,1.7147519301648149,3.143235847060242,3.328213961249663,3.401993597726212,3.380597633967428,3.324375619824237,2.92615873533646,2.890210020363301,2.9643182002748056,2.879013739203212,2.620325700481464,2.145118279117665,1.6928845569958768
2010-02-01,2.9344178378889496,2.8403055199916665,2.754252334973976,2.675539596253749,2.6035162310760995,2.537592007893091,2.477231486923504,2.4219486121817084,2.371301872909193,2.3248899708138024,2.2823479369656017,2.243343648741585,2.946338903590286,2.86170831478505,2.7830758108740925,2.710048284653363,2.64225449345599,2.579344354803504,2.520988185767531,2.4668759025756364,2.4167161943973356,2.37023568299069,2.327178077934915,2.287303335483427,2.934446907787143,2.8227920537012956,2.722943019891237,2.632931445808276,2.551766786527901,2.4785655436018064,2.4125438541102304,2.352996621563313,2.2992883351298055,2.2508459605505213,2.207152756479919,2.1677427340533493,2.876752536642912,2.7663496341970726,2.6698707558922976,2.5833643539470823,2.505608227089909,2.435692250421657,2.3728172631187343,2.3162678397056986,2.2654020036414364,2.2196434683933157,2.1784748486825203,2.1414315951411735,2.83184731904522,2.723512019497698,2.6072411680221665,2.5170729293921728,2.372648961829995,2.3901052267692955,2.4129803895438795,2.4359828993673935,2.3863859521241904,2.1773438303759547,1.912352761262359,1.7410079195958137,2.8953978898434136,2.7884720896572914,2.7065640763758783,2.6370370020059584,2.492405946795685,2.500742761441206,2.5348530911571396,2.5782803770438436,2.5622752821445935,2.3621510560300853,2.1641243056557924,2.008079033883705,3.059972680502172,3.21571528925949,3.2578452401209548,3.361223249576702,3.188161607141069,3.3320495702060646,3.425218021086965,3.2494788957391236,3.023613957776082,2.4939957069369734,2.124974047729581,2.185617027812686,3.0917884646318954,3.289517931680969,3.3614467650898776,3.4635071487482634,3.298726726140709,3.446784342211655,3.6124223286274684,3.442383637741769,3.2147728530677044,2.628013969924523,2.301797598322369,2.4491972130530795,3.2094344100300143,3.234687398697171,3.185206731438843,3.1093413474920664,2.755976849989395,2.7303630995594688,2.833527591275537,2.7743418296527693,2.4924999083687114,2.0222093823565177,1.5456334532675542,1.601132311710035,3.1770623182442224,3.2324977883768105,3.168406328599459,3.0863455096738344,2.7006577625300547,2.64213471291311,2.71323337593423,2.6345060381946714,2.381572914832401,1.8939877651020758,1.4634213115321653,1.5635852539619197
2010-03-01,3.255980208817204,3.1421201864972006,3.037502246943024,2.9413368943674323,2.8529077189611884,2.771563891447591,2.6967135141352507,2.6278177221933348,2.564385442776808,2.505968731663944,2.452158617488209,2.402581392670833,3.275204891464496,3.1767475315283553,3.084291998690954,2.9975500750081245,2.916236821556282,2.8400723618179295,2.7687833104292823,2.702103897637012,2.6397768335052247,2.581553950348465,2.5271966569579485,2.4764762338621273,3.262406663480765,3.13280141915937,3.0124708351116314,2.902995175427427,2.8035010905967823,2.71309653364496,2.6309523168400246,2.556313949129486,2.488495716840564,2.426874559141628,2.370884348706325,2.3200106859129828,3.302315971582366,3.173250337042822,3.051700069496286,2.94080497040105,2.8398917430520476,2.748077980708928,2.66453967288252,2.5885261715797143,2.5193552089046762,2.456406770892799,2.3991173931773764,2.3469749706034726,3.2206256277336207,3.067144659297124,2.9494286109680337,2.748328456254906,2.7465573588869656,2.7146801449037894,2.6888375630192884,2.6210852309029278,2.3980524889485304,2.151447034606032,1.9693080714414548,1.7547168379884923,3.326250071210798,3.2713514281143268,3.21769634430172,2.9854691017001,3.0075240319415233,3.009607654168331,3.035158545650964,3.0571560025638598,2.855739959963385,2.7322876675099166,2.599880654749531,2.4359528073520815,3.515473148693016,3.5442195154868217,3.623772705216852,3.4183319666124254,3.546346581638872,3.6164031266903636,3.412142072155273,3.164791303091666,2.617094040093328,2.2460887745592055,2.290298656960298,1.9857814241147014,3.5596542567954033,3.624783317805295,3.726172545627249,3.509312124305984,3.659437756638564,3.7724571448027,3.5673491957070396,3.3636576300183547,2.743749810957388,2.4279466574090893,2.548845781477051,2.266743728363738,3.4357468414506336,3.460504609291526,3.395978296076694,3.042935732341187,3.052177992472147,3.1545585349793717,3.0834466030785093,2.79851824943096,2.317787672896714,1.8501053872222166,1.8812186034694875,1.6417410329060977,3.4344146072547046,3.4210070762604623,3.3670035596942975,2.9940552396501565,2.9446006420290303,3.0134267624997655,2.92396682254857,2.6656367086749095,2.17043695524593,1.7083231288279745,1.8306380694475544,1.5872315317081735
2010-04-01,3.572424025424552,3.4351508412797225,3.3083072513026126,3.1911417753896663,3.0829522187272884,2.983083047927992,2.8909228231982027,2.805901699508638,2.7274890067596007,2.655190916405927,2.5885481998706235,2.527134082280545,3.6093257114607207,3.5030842273781992,3.402105555460024,3.306266306016667,3.2154247958962188,3.129425233926517,3.0481013046253485,2.9712792247274984,2.898780338486806,2.8304233100697855,2.766025964562852,2.705406823076429,3.5539699632405224,3.400215042529701,3.2583117597111495,3.129214901176847,3.0117477374804418,2.9048790447211603,2.8076509100961933,2.719192128358833,2.63871025801312,2.5654846701869447,2.4988600189870103,2.438240304911266,3.585411101671378,3.4369633745625663,3.2996996723003718,3.17412734621477,3.0593559862114477,2.954455909743744,2.8585689281235265,2.7709115529599844,2.69076921705975,2.61749020195803,2.5504800378398365,2.489196403329769,3.5101164891512964,3.3554468236543413,3.1414846660302436,3.097644373095574,3.0515198517066735,2.98336674066415,2.8701979933685324,2.6415610109733056,2.3811035786883115,2.2155683405303535,1.996500312056486,1.7725052123931841,3.6345167105512055,3.5643479820683757,3.3068075850582233,3.2880627729365344,3.2995988846855986,3.292550016615647,3.267476890259472,3.063100425628144,2.928761080513916,2.822321933722165,2.654831294759776,2.4480107360826038,3.7440942227768517,3.816423311230186,3.6136638058039763,3.730363139841838,3.7963675739699356,3.580161772839754,3.3279225204781246,2.776661590743298,2.3974184676455033,2.450040945681272,2.148732799857098,1.8575978250498377,3.791731651869673,3.9004836605231006,3.6879280794470524,3.8440533315004237,3.9881261746596315,3.782509034084702,3.581058779001065,2.9751824396651303,2.6488154307797296,2.783932422600787,2.5098989195678088,2.259909036317695,3.7278575958059776,3.6193295710941045,3.240625536288529,3.209571084018428,3.2324499530741897,3.1344475563703984,2.8218516982710633,2.308054702825905,1.8523090552275974,1.9077782374299488,1.6561763010078878,1.3961537138693747,3.7029263599321824,3.657805693397466,3.28875286629764,3.2410249827913375,3.3076507677045703,3.200123823641055,2.915743572695625,2.4003815709164713,1.9332535944434976,2.0117620359563597,1.7593562827243243,1.5423271090118156
2010-05-01,3.333554669942072,3.206603243300079,3.090381568965142,2.9839859585837827,2.8865885136950946,2.7974308019554064,2.7158180577088964,2.6411138637627927,2.5727352747410386,2.510148345622612,2.4528640320425255,2.400434431665534,3.363837646628318,3.2621254463708085,3.166736277210135,3.0773311611224736,2.993582374012893,2.915174091855774,2.841802831718212,2.7731777194738756,2.709020611914022,2.6490660973475455,2.593061395598096,2.540766175504568,3.2837241925800233,3.143091475475442,3.0171043444681254,2.903674378529928,2.8012656280971813,2.7087831114234517,2.625251729961846,2.54979574109716,2.4816261722517625,2.4200320108057136,2.364372390347778,2.3140695905995683,3.3069410122332137,3.1717771287349654,3.0501534477925363,2.9399057353375055,2.839874144813223,2.749087430494836,2.6666740836782603,2.591846791038436,2.523893682839366,2.4621709353005463,2.4060961502737683,2.3551423929331508,3.333347201204134,3.1193670298248994,3.0883802657707236,3.0434525888725745,2.96881346291753,2.855911249871262,2.650140554087894,2.385625142971606,2.218127354088272,1.9946134386344982,1.7913041918923824,1.6201285985413647,3.4258956869509603,3.158860607632606,3.1332195542870105,3.142899668469334,3.150074196453816,3.1275099854057453,2.979015605224864,2.8395526782850533,2.762943628299219,2.606449769761947,2.4325057748228334,2.249022537421591,3.555484935174397,3.3476150776865863,3.4658024125924314,3.5350085095340553,3.329305340036047,3.0945045809972647,2.5719016105252153,2.2083201618906663,2.2761971755314696,1.9759627759453249,1.7282281411640021,1.7245274047515007,3.599858682763351,3.3662018226885153,3.513822416230039,3.6404075922432484,3.4444536942395674,3.28546954028484,2.71569544113089,2.3894945656627633,2.531604850464507,2.252570544164267,2.03550463680724,2.0663616951768997,3.4095260819618645,3.022745917422238,2.9942029733622824,3.03418449331721,2.939547027310389,2.6354132562494668,2.1390860001976373,1.6934553102594454,1.7628986467507914,1.4775329969137991,1.2499217088774393,1.2889288917632231,3.453013022981113,3.0395978772077905,2.994539268214609,3.046262204436096,3.001735194152075,2.728763311799548,2.2447877169303028,1.7619915180448829,1.8418906226061558,1.5603437333826888,1.382663867480107,1.4917220248818668
2010-06-01,3.1223028179985217,3.022990966712806,2.931054232465656,2.8459859590213155,2.767309194876238,2.6945756373365417,2.62736450615166,2.565281370052687,2.5079569456870754,2.4550458851134445,2.4062255651548026,2.3611948894469927,3.1524850994802693,3.078536923057959,3.00772216100406,2.9400497950355544,2.8755033158903482,2.8140451652885727,2.7556205867771113,2.700160956059311,2.64758665344763,2.597809533980523,2.5507350444238255,2.5062640307484907,3.1440507297058633,3.0287979324258907,2.924562945674669,2.8291675956581983,2.742128664782666,2.662719963136151,2.590282302123709,2.5242100840469393,2.4639496005915764,2.408994665270103,2.358882631467927,2.3131907082955077,3.098520785551799,2.9952271425049806,2.900201358744367,2.8130666505877677,2.7331968774505704,2.6599823588294056,2.5928614289222507,2.531320295116054,2.4748892084518666,2.4231386362582477,2.3756757466465785,2.3321412057852866,3.0352170070724194,2.99699758052022,2.9634472069810607,2.89543741622569,2.7788933707131767,2.588758247134721,2.3466137120747015,2.185147777176444,1.9709275844219263,1.7710547767626235,1.620103190319212,1.500795860346459,3.0628098426731207,3.0426297610565243,3.045589731316386,3.039013852623358,2.9865142410713594,2.8201090909806554,2.6599421551021663,2.528709496925356,2.3614105325251282,2.164105170287331,1.9753991990883843,1.8665626171921725,3.0571746995562874,3.184965545744123,3.2743363319467598,3.0752167093585205,2.8598582406824598,2.3658128236218987,2.029804308935122,2.123075044203472,1.8428101952978952,1.5937141970921325,1.632341549814725,1.6515854592873929,3.0347625071851327,3.183865884656703,3.3293870493226114,3.1598318409873882,3.016735665124318,2.4834595908811985,2.1829883005488178,2.3526409123305463,2.0852757367343897,1.8697764311185527,1.9232583804841048,1.97438625033389,2.8487288820659113,2.7886246953130285,2.8154696414989457,2.7155840148456947,2.4104467536663843,1.911692478082972,1.4710368336180184,1.5449999610612672,1.2745216194140663,1.0422740782916053,1.0834576842756771,1.259724117113709,2.837438483237174,2.783306411123549,2.8415682312035146,2.8135486570818737,2.526563139915756,2.048706001673844,1.5723219736287075,1.6562494418777511,1.3776135059230779,1.193981873943002,1.3172212180875653,1.5358315261964133
2010-07-01,2.9091048949516476,2.826059809850617,2.7492523785306426,2.6782498686860206,2.6126450094723594,2.5520551221437215,2.4961211781317383,2.44450680716058,2.396897274240417,2.3529984411526916,2.3125357252663026,2.2752530661460115,2.9415522483323544,2.8857774089826362,2.8316796635136026,2.7793781597131813,2.728959097935338,2.6804805541982613,2.633976712044929,2.5894615697572196,2.5469321823833524,2.506371491644682,2.4677507910575316,2.431031868471801,2.914860973770364,2.826601888789468,2.746065825051459,2.671773780630175,2.603452416374526,2.540642136919355,2.4829221636751044,2.4298993783259357,2.3812086777104353,2.336511221268816,2.2954928269951247,2.2578624116118435,2.9223795170590074,2.83679265394582,2.757417156735108,2.6843877638844784,2.6172346935026463,2.5554888993148737,2.498716654155131,2.4465187226685123,2.3985277628826327,2.35440580163858,2.3138418997640415,2.276550001082088,2.919660302951538,2.897037243240702,2.857584951487136,2.740105776632194,2.5158056309558674,2.2832550449607814,2.1254374960117093,1.9175614472597373,1.6984980772678004,1.5101668221516402,1.359131115732671,1.2809596869116953,3.007461800191741,3.0580765965315155,3.105739243160964,3.078906534442724,2.953600195025772,2.8334313412744114,2.771216908890992,2.6385531066604,2.4478426856111155,2.26748128694527,2.150984510046791,2.1050330583041115,3.1282551513084154,3.2193299313459725,3.015646112028011,2.800093648898622,2.307097760842564,1.9820069820163504,2.0814923900522775,1.8009310621422963,1.5573171751756092,1.6052698671869372,1.6218454806813636,1.6864022859122874,3.143295509185417,3.293777319744875,3.1200431455427937,2.9740327829856823,2.415642687432529,2.0886650625672667,2.2560976554839587,1.9906249136852048,1.777043615140234,1.827933991018245,1.8671306063163686,1.9649369046221619,2.972252311614085,3.027125960807875,2.947405715390727,2.6402215760106955,2.1183900573051657,1.6805077068842302,1.75392400959583,1.4866821971008402,1.2573677099517506,1.316928995808463,1.4934345694459075,1.670614159174003,2.9359721961426897,3.0208833456086324,3.020760704494216,2.741848646487361,2.2745158106824164,1.7903920511682798,1.8589700850341877,1.5856389443695202,1.3703694159861353,1.5066923435545854,1.7203024995313712,1.8774735553589015
