,"GNAR(1,1)","GNAR(1,1)","GNAR(1,1)","GNAR(1,1)","GNAR(1,1)","GNAR(1,1)","GNAR(1,1)","GNAR(1,1)","GNAR(1,1)","GNAR(1,1)","GNAR(1,1)","GNAR(1,1)","GNAR(1,2)","GNAR(1,2)","GNAR(1,2)","GNAR(1,2)","GNAR(1,2)","GNAR(1,2)","GNAR(1,2)","GNAR(1,2)","GNAR(1,2)","GNAR(1,2)","GNAR(1,2)","GNAR(1,2)","GNAR(2,1)","GNAR(2,1)","GNAR(2,1)","GNAR(2,1)","GNAR(2,1)","GNAR(2,1)","GNAR(2,1)","GNAR(2,1)","GNAR(2,1)","GNAR(2,1)","GNAR(2,1)","GNAR(2,1)","GNAR(2,2)","GNAR(2,2)","GNAR(2,2)","GNAR(2,2)","GNAR(2,2)","GNAR(2,2)","GNAR(2,2)","GNAR(2,2)","GNAR(2,2)","GNAR(2,2)","GNAR(2,2)","GNAR(2,2)","GNAR(12,1)","GNAR(12,1)","GNAR(12,1)","GNAR(12,1)","GNAR(12,1)","GNAR(12,1)","GNAR(12,1)","GNAR(12,1)","GNAR(12,1)","GNAR(12,1)","GNAR(12,1)","GNAR(12,1)","GNAR(12,2)","GNAR(12,2)","GNAR(12,2)","GNAR(12,2)","GNAR(12,2)","GNAR(12,2)","GNAR(12,2)","GNAR(12,2)","GNAR(12,2)","GNAR(12,2)","GNAR(12,2)","GNAR(12,2)","GNAR(13,1)","GNAR(13,1)","GNAR(13,1)","GNAR(13,1)","GNAR(13,1)","GNAR(13,1)","GNAR(13,1)","GNAR(13,1)","GNAR(13,1)","GNAR(13,1)","GNAR(13,1)","GNAR(13,1)","GNAR(13,2)","GNAR(13,2)","GNAR(13,2)","GNAR(13,2)","GNAR(13,2)","GNAR(13,2)","GNAR(13,2)","GNAR(13,2)","GNAR(13,2)","GNAR(13,2)","GNAR(13,2)","GNAR(13,2)","GNAR(25,1)","GNAR(25,1)","GNAR(25,1)","GNAR(25,1)","GNAR(25,1)","GNAR(25,1)","GNAR(25,1)","GNAR(25,1)","GNAR(25,1)","GNAR(25,1)","GNAR(25,1)","GNAR(25,1)","GNAR(25,2)","GNAR(25,2)","GNAR(25,2)","GNAR(25,2)","GNAR(25,2)","GNAR(25,2)","GNAR(25,2)","GNAR(25,2)","GNAR(25,2)","GNAR(25,2)","GNAR(25,2)","GNAR(25,2)"
,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-12-01,2.8634048583129825,2.793548257869879,2.722305051496251,2.6540367248108074,2.590904782305004,2.5337396938150376,2.482599952159213,2.4371263152628204,2.3967614138350575,2.36088163295666,2.328872552090103,2.300168706535212,2.7273836990820333,2.569615308289047,2.442947051893027,2.341465636705385,2.2606453121037364,2.1970082914244786,2.1478651024584905,2.1111204069129887,2.0851292146268308,2.0685907524281584,2.0604700579048822,2.0599398518505616,2.8789194285077206,2.6859748416424774,2.4852967622582667,2.312410348823227,2.16991705545384,2.0552360029359247,1.964656556604472,1.89463200212251,1.8419623595699746,1.803829173009959,1.7777700744202007,1.7616466574150542,2.747036638846427,2.525242858432203,2.311449870793995,2.1381336836577733,1.9967131832635068,1.8827266400828675,1.7913336508643933,1.7190432958251731,1.6628492845442115,1.6202977015295925,1.5893028024067102,1.5680939593156904,3.031319481325638,2.860794549995749,2.68768137627258,2.6957138111649375,2.68755003182427,3.0233412980537375,3.312397802763633,3.746355593297637,3.984034953679256,4.358050089610651,4.3212336220540974,4.179188640378256,3.004698863244843,2.981556498863789,3.2692628755075233,3.7900847687009627,3.8332423034189853,3.8541443560286055,3.840401437504693,4.182458087300657,4.3821228741421026,4.3395754313071855,4.16188458243765,3.8411520166073476,3.1243559786173023,3.0351750776046087,3.0081066045831175,3.0751351353900596,2.975737555519711,3.258132744396274,3.2707342383747555,3.70774425777721,4.063031527594171,4.228071234778013,3.8584984854200197,3.342082977839537,3.0355995943347,3.0478592869919376,3.403074280758696,3.9308585882976796,4.033932357058024,4.229025973029569,4.218471315919826,4.561865382565961,4.784396693999661,4.518772017098808,4.127452880517601,3.4570553356195637,3.520347532579798,3.5175858941136253,3.6945095572770743,3.9133275588254923,4.0635010332812715,3.4433193849153243,3.013747121872557,2.87220157790159,2.9816378016853156,2.837223300919389,2.6647018792684074,2.1407188259075527,3.2964656210506087,3.3252203776991576,3.2429083803609657,3.430942999071797,3.609661320619523,3.009809969044743,2.9060706938906717,2.974961516714936,2.7534519444862453,2.6876422827974302,2.182444595902214,1.6646033434399738
2010-01-01,3.2848058147133985,3.1522274056333135,3.0254787616604215,2.908534128809249,2.8031278446968884,2.709598958938093,2.6274641373371788,2.5557970981509994,2.493473062487758,2.439320713530828,2.3922119242020754,2.351110455555888,3.3001953551299907,3.177819292783327,3.0609029054610932,2.9556050176396296,2.864365220384502,2.787425228570105,2.7238077693174043,2.6719383873148317,2.630030618786454,2.596314977201251,2.569165991271845,2.5471639043056316,3.172348206017854,2.854930639151582,2.568761325170007,2.335614337784017,2.151397287245016,2.0086669619533235,1.9000302611098476,1.8190791172903074,1.760440424644429,1.7196584652555464,1.6930568852022743,1.6776114492915708,3.682415528131463,3.850272117583467,3.961179669272867,4.0303174398497275,4.064716516585088,4.068630032281834,4.046740420753066,4.003521100606481,3.943286930576118,3.870037397120428,3.7873703443746716,3.6984342134817894,3.381184216460762,3.219720318405548,3.357741341291379,3.485329039664956,3.806203781732994,4.186897306088156,4.490529257124986,4.688805378689022,4.959203645486555,4.979773090247605,4.885420261970199,4.765837859648449,3.456751259180053,3.7411340633222236,4.263005426574885,4.382784591274549,4.403951314453706,4.367288368019745,4.682434670819694,4.855163742998177,4.823772073538912,4.621426435540892,4.260806282829874,4.105312417127359,3.4726730092827007,3.4712847278056227,3.7045922804965015,3.724838697731377,4.03801231449293,4.209337197714812,4.508478567409496,4.846732665334956,4.882399435921373,4.5609925542909,4.053419466708909,3.812672810190194,3.437021496494003,3.7049852373311145,4.173338237699301,4.313564459354872,4.525311256754751,4.491904531015278,4.792922430322388,5.006921385332443,4.8298281839663595,4.49482393659227,3.8369367656542157,3.5653540847489067,3.3322348915830213,3.801925677445298,4.1203689942429556,4.01615714213867,3.599055534492214,3.085893875054067,3.0559585721707707,3.0729441929046537,3.6508230141431985,3.333607801463187,3.0036625396664154,2.5639072457756313,3.3536594649050517,3.7417620621459,3.722339868170053,3.4559289171981122,2.482903040664941,1.4570674344015213,1.152443912195395,1.5849569735024673,1.8976022594057917,1.470668355491448,0.6745270446482601,-0.3424120973025908
2010-02-01,3.0725426262057596,3.0593799364272862,3.018272710979425,2.9623896366450655,2.90006453445583,2.8364128438484304,2.774431065999142,2.715741886758779,2.6610961635916106,2.6107082255228047,2.564477229130383,2.522130997759008,2.8374585149780396,2.6933803698375494,2.591748503436958,2.522228465646638,2.4769217148279514,2.449833101877585,2.4364405880640922,2.4333555790625523,2.4380582338049686,2.44869274212928,2.4639096987650584,2.4827450814177743,2.816770104585805,2.61408600388798,2.4395192841189797,2.2958012182921506,2.1798722827370134,2.087637541338277,2.015100756971937,1.9587641496845374,1.9156578780959062,1.8832890722019517,1.8595776744940102,1.842794838733033,2.7898022887903644,2.5215248397203984,2.3208690895324837,2.176905375292572,2.075466015695979,2.0043689630221713,1.9543903614029428,1.9193723265473357,1.8950735061369577,1.878629361561075,1.868031763488867,1.8618437866600008,2.683979397981518,2.7652308288618856,2.5120835986069276,2.5622454161577743,3.070988055755014,3.2179141142200187,3.718236199299618,4.118615758152858,4.308978173797667,4.070609818921793,3.9268891212902606,3.7110336345155694,3.3114106214863313,3.89069028579818,4.003888782712545,3.9528743189951783,3.895792319133405,4.198770795032445,4.391044687371676,4.362016974985552,4.070517857877251,3.7189360456381717,3.622504048134525,3.6947810921300723,2.846740108102356,3.0735421765248594,2.834262441969527,2.988599853241891,3.182923860026195,3.291965560958528,3.869481970669475,4.019749502118148,3.887925466579982,3.289525392656805,3.08815468833604,3.0438278224892046,3.265764380918197,3.8146322183851176,4.001018430506973,4.145313343096371,4.114398909320676,4.442492199651729,4.698802921875412,4.537335757591276,4.143085366078366,3.476108160183727,3.179630122566072,3.2966223650941977,3.5477203349527047,3.867184895142315,3.872682279928304,3.435083023687236,2.8528672732369023,2.843107453284135,2.9538322063593663,3.585646349272724,3.2893133546763087,2.894699051654601,2.3808296261569435,2.6052534700477485,3.403095910073411,3.4141233655783916,3.152859102314787,2.321993025484655,1.2439271273222912,0.9256194442443624,1.1433903185144176,1.3647008151769016,0.8401662258906872,0.032460098160015605,-1.1681324496125927,-1.3991640815486839
2010-03-01,3.4397069979223414,3.4465082913437466,3.4209895901592335,3.376548381910692,3.321825601854222,3.2623192765172435,3.201450709460622,3.1412755517487665,3.0829602177856295,3.027101202697632,2.97393835076314,2.9234962381873464,3.4509250408531695,3.490425070460898,3.5117633108386155,3.5231024223177076,3.5292338186185788,3.5327789991447145,3.5350030940846238,3.536359291971009,3.5368466714031905,3.536239848398034,3.5342316315638334,3.530517484264011,3.468480225591449,3.4921198265697866,3.50422593984891,3.504652724596416,3.4950916962936733,3.4753771236694586,3.446254115781562,3.408709560558415,3.364004573598383,3.313474333940756,3.2584386719196665,3.2001311520173683,3.4765750251076244,3.5194317470026215,3.575534196023355,3.633512002801134,3.691361233200749,3.7442329809891106,3.7896042840035085,3.825620924239064,3.8513102546138733,3.866259240867416,3.870524035406799,3.864513792998718,3.5600305811479815,3.713997685504547,3.9067524158826292,4.031021137433411,4.083089753489932,3.6539487437501785,3.4359701158078346,3.2726181682216056,2.990604234267096,2.710521396129827,2.6557983981050537,2.5501737458585265,3.93786401143368,3.980968967963203,3.9191475292889844,3.8954213515501173,4.208924287846163,4.422444185751089,4.405311682589456,4.13693264560607,3.8296688925024,3.7099177661838283,3.796411594004308,3.5587079429640474,3.6517362102234108,3.3089146103963243,3.4039235894820736,3.530854174911159,3.637752655362477,4.19754506601327,4.301206041138714,4.12598840751599,3.525965493977697,3.369610527364042,3.3736903501984608,3.271989289756483,3.9051653157795734,4.0303065286845365,4.146726528463377,4.12610988831515,4.458733433979889,4.710529242971758,4.5350556256351044,4.146298343138993,3.528291660093735,3.2381381010631243,3.36172191348896,3.0344553042877846,3.7590443286701087,3.861908191654975,3.5797673871546096,2.765091776483789,2.702097325562973,2.9337675874407974,3.731067588803175,3.523770198993354,3.28468072944915,2.5155246668454048,2.5888748515530735,2.229931398976861,3.374595188942882,3.13908775716531,2.3401884830204365,1.232668257021655,0.9347092859278863,1.097745025739763,1.4449741982707647,0.946608636543958,0.2882912865951419,-0.8787905128429268,-1.0737529966911676,-1.9386714982382167
2010-04-01,3.6434340338025737,3.5620946651461995,3.480863434603479,3.401841873164162,3.3260799019128804,3.2540255643657656,3.1857841947729844,3.1212706001618047,3.060299554946537,3.002639823505101,2.948046152679691,2.896277744784447,3.657990094524193,3.6014896385410724,3.554203454842047,3.516750859166305,3.488416809680974,3.4677823115733943,3.453145710318883,3.442783789698181,3.4351016200362494,3.4287087839888954,3.4224487341459104,3.415399615310614,3.6668800303010696,3.5785429845451278,3.5044419732859415,3.4527379209962854,3.4118685564423954,3.37544899683318,3.3387193300769815,3.299389683991513,3.256436723732717,3.2097115101689426,3.159540253865291,3.1065085382109014,3.380007168387802,3.2663673665843223,3.0888517759565017,2.9373256423608467,2.7904261831014603,2.6557432985973657,2.5307833514450833,2.4166259498543647,2.312395268326672,2.2180403537135556,2.1329077047593126,2.056575917686648,3.7962048065148037,3.8767467312999417,4.006904687474868,4.120853617762853,3.6775011707218512,3.514009277798942,3.3989515981890666,3.0593911775756313,2.7397860578443933,2.6337579949208685,2.5485252765349697,2.2107504896985533,3.811296949552059,3.782702206158916,3.7296162136455675,4.049008056138918,4.220310169116544,4.188291125414642,3.9397279976453263,3.609468103114941,3.3821545125034422,3.418084175983313,3.253842576820877,3.1218731025888333,3.3821518892481963,3.444192365809558,3.5404012913814533,3.6267425909337714,4.177002005693716,4.2521079244601925,4.0971097440065405,3.49357318852202,3.350743478556356,3.3818436762549187,3.282520387209496,3.1994451996487125,3.9461351012054435,4.1437185667103,4.160347436334552,4.529404876974233,4.737280176513064,4.549022902324847,4.190648122035714,3.531079460751336,3.1253283187159475,3.145290081830177,2.862576396474627,2.629604395635683,3.8640931557576295,3.694769064769518,3.0504573214606037,2.7157112992838144,2.850064279031619,3.7969528767031084,3.748389539470672,3.5686564284094007,2.9411614250977616,2.8375436246344465,2.3127133010668293,1.9899853454048888,3.454948141944264,2.6347856844995503,1.4789525085821082,1.0807288016338423,1.161963998042359,1.5664932675731758,0.9864914117636376,0.37576414699411576,-0.7988944194392711,-1.0232820115205827,-1.9374662460385141,-2.512840745507365
2010-05-01,3.3367205159990148,3.2054780006835917,3.0822706304774354,2.9688087551115614,2.8656034455863306,2.772479320685351,2.688883422678447,2.614073139289731,2.547230587115756,2.487531369638294,2.434184625468437,2.3864548870047977,3.353283444541008,3.2351021219377207,3.1252170219978384,3.0272167915001065,2.9422244306020073,2.8699032046528714,2.809120273858018,2.758372691685269,2.7160516752784876,2.680598740920111,2.6505909100575,2.6247804671986144,3.288590602081875,3.135145922331217,3.0298529359449735,2.9589998072577557,2.9094755795465392,2.871633907547623,2.839406260026934,2.8091992987743777,2.779021267453008,2.747879838319726,2.7153958184796005,2.6815549842513335,3.4929791284927525,3.1928806617777994,2.9831959030728115,2.783855666409317,2.6071314049671654,2.449447990461443,2.3101397523806404,2.1881341562113645,2.0821017305475924,1.990677324851793,1.9124431749119009,1.8460193518785724,3.375536980410668,3.355623882239459,3.4978174537670257,3.182430130629299,3.0115588924558523,3.0022573667713224,2.753286238213909,2.4364008522748524,2.342664434146218,2.2648423601149466,2.0740243896778443,1.8130116964368233,3.37304366125845,3.1966312789805316,3.4654167508520546,3.639492699143548,3.618229734127081,3.417088284780903,3.1693880188697507,2.987491037355704,3.0606889213651534,2.878597277084162,2.8146755440554956,2.794793960038815,3.5637396060550723,3.684922646110025,3.900056285317774,4.5154205344033524,4.557264588207582,4.47569877535622,3.7823434682656236,3.6088998423416863,3.58339372486725,3.5194444797243962,3.410674216544098,3.837161238633236,3.3451819607776914,3.1922513451975387,3.3389482506030994,3.2972978820977703,3.070596417819932,3.039741364653951,2.3615651406112113,1.9313802440576209,1.7841503044213232,1.3586584592653523,1.1514983542309591,1.04089973627396,3.3316428970776952,2.6358877437684916,2.356328685668918,2.660101617725243,3.598094897689297,3.51291261504231,3.3750508577811402,2.6851168545889017,2.5335730300209724,2.0787343772074203,1.6786811976705054,1.4706318733965742,2.712527476686134,1.5703115756100474,1.1446920140297403,1.1906076616526442,1.6803802333113824,1.1375137236649713,0.5603670872416582,-0.49204202084514304,-0.6334026939269632,-1.4816584773288675,-2.0520705761611397,-2.297364396584092
2010-06-01,3.280556899190815,3.282712538006137,3.2546455734973385,3.2084767198676234,3.1521052399912066,3.090663229145882,3.0274520333673465,2.9645561186917853,2.903250930734059,2.844276357682168,2.788021024349794,2.734646675280575,3.2846298405700405,3.29888357973286,3.288428469865319,3.263643808588765,3.2310275968206152,3.194504129936911,3.156326457171759,3.1176904872248157,3.0791461434261027,3.040867625299721,3.0028271848680808,2.964903736940185,3.2455445858025467,3.288734664602445,3.323784707516903,3.3386039099727287,3.3364622530659225,3.3200538385758325,3.2924387865511426,3.255993502138395,3.2127550469496544,3.164413571359142,3.112393429302189,3.057886102075984,3.256343692159531,3.2948476425294864,3.3341958652645722,3.361560084225,3.379330192059287,3.3876061880865778,3.38729965803921,3.3789140343347084,3.3630050145662227,3.340130040680126,3.310881355521068,3.275873860408161,3.0961825148742275,3.1518648463281744,2.856145531572134,2.7579555424153335,2.7292278893228348,2.5414347560633774,2.287325153204052,2.2284789159774427,2.1643544900868004,1.9711378814588763,1.7850156101303778,1.6567843807915024,3.093079821488395,2.9548418975643096,2.550814285123934,2.550442866549957,2.5213304921134485,2.0267425539995925,1.884874104871609,1.725816606838753,1.3628160086824845,1.1644743673570948,0.9053700285922832,0.7103301836898879,3.317550636190039,3.616423373797352,4.36242244786942,4.483136605860048,4.356798180085543,3.7293859660472,3.4969221014245284,3.455810830522217,3.323241066687994,3.153347132024189,3.5527017183887697,4.0093972739653925,2.914383894113379,2.9131069497312216,2.7700416035569955,2.5771405648971863,2.4741401906435367,1.8456887377631657,1.5680802503013471,1.5592858212579817,1.1196328827373574,0.937490334759977,0.9377815339569481,0.9882374687989035,2.558040842814646,2.328415703344341,2.755267839435323,3.6685153470402456,3.4492832767973605,3.3097010102063886,2.827249941364009,2.7754951340841636,2.360025147319938,1.973434690660456,1.6901044673711922,2.181818658509007,2.178117452646256,1.800096985832697,1.884781833273898,2.171881666411747,1.7651147247678391,1.355588546113247,0.7116455169471174,1.0458349929182416,0.63093955252737,0.34616335649659846,0.4927290881331101,0.8756889494272773
2010-07-01,3.0373127759935423,3.0310451477672404,2.9978765912175938,2.949378736429053,2.893013656172628,2.8335297723326707,2.7738808299598143,2.715837146173551,2.6603946853336238,2.608049462306692,2.5589813640627224,2.5131766800904356,3.0443145022624885,3.0563537862307775,3.0473011787126545,3.025370188437967,2.9959074396118517,2.9622977768005017,2.92660879569833,2.8900429335955002,2.8532496105247924,2.8165371637294907,2.7800140462052747,2.743680765716894,2.9862716343527866,3.01701030296665,3.0383331524162642,3.0395654829969327,3.024524903308384,2.996787664310464,2.9599659805867646,2.9167689579457474,2.8693024180265576,2.819162331520922,2.7675750590772643,2.7154841479663037,2.990198050053416,3.039554270784996,3.0830545668317986,3.1113850457642678,3.125208225877095,3.1255278161667115,3.1144286477542305,3.0936880311739507,3.064934768984926,3.0295331177039007,2.9886627937349237,2.943346523562065,3.1523148431142243,2.9638677320376567,2.848147951557727,2.7643805653902014,2.6275914654119354,2.3284125563034626,2.188204119098611,2.116477727429533,1.9263631045359975,1.8003541172765198,1.6489785412677593,1.703234780165686,3.160359271964195,3.39004174485587,3.4751608650272505,3.240372268668204,3.0490244227875776,2.8858675113702974,2.9528013067331704,2.7858153428881978,2.6958859010101905,2.803357604794834,2.834611620792982,2.8835536445308088,3.1874250227666634,3.3057153120705998,3.149994240779101,3.027388877987328,2.524434239745042,2.2076841238891007,2.3516990885464932,2.1016462162744234,1.8202633763010891,1.9106064385954762,2.024251614264054,2.0753659263343396,3.2029895664595056,3.2057176993016734,2.9029708661756297,2.6904872193101306,1.9602685850373187,1.6397370787856955,1.7054003657744479,1.3012331157489,0.9802697614740731,1.088949529920286,1.2610134837801068,1.4217150149314086,2.868215458200999,2.92625053130671,2.7168666467684024,2.3498684003599437,2.0154849405961697,1.743611288953769,2.0630844610815227,1.6369050845653685,1.2540792429293863,1.2430773678320932,1.932475765233147,2.091453789318618,2.299572464573419,2.68958905301578,2.761027520367846,2.209449320989253,1.851813390387338,1.8152689190862716,1.8071404571603777,1.5694579908027433,1.819585582261716,1.7503920042253251,2.4153779533021895,2.5066906277256145
