,"GNAR(1,1)","GNAR(1,1)","GNAR(1,1)","GNAR(1,1)","GNAR(1,1)","GNAR(1,1)","GNAR(1,1)","GNAR(1,1)","GNAR(1,1)","GNAR(1,1)","GNAR(1,1)","GNAR(1,1)","GNAR(1,2)","GNAR(1,2)","GNAR(1,2)","GNAR(1,2)","GNAR(1,2)","GNAR(1,2)","GNAR(1,2)","GNAR(1,2)","GNAR(1,2)","GNAR(1,2)","GNAR(1,2)","GNAR(1,2)","GNAR(2,1)","GNAR(2,1)","GNAR(2,1)","GNAR(2,1)","GNAR(2,1)","GNAR(2,1)","GNAR(2,1)","GNAR(2,1)","GNAR(2,1)","GNAR(2,1)","GNAR(2,1)","GNAR(2,1)","GNAR(2,2)","GNAR(2,2)","GNAR(2,2)","GNAR(2,2)","GNAR(2,2)","GNAR(2,2)","GNAR(2,2)","GNAR(2,2)","GNAR(2,2)","GNAR(2,2)","GNAR(2,2)","GNAR(2,2)","GNAR(12,1)","GNAR(12,1)","GNAR(12,1)","GNAR(12,1)","GNAR(12,1)","GNAR(12,1)","GNAR(12,1)","GNAR(12,1)","GNAR(12,1)","GNAR(12,1)","GNAR(12,1)","GNAR(12,1)","GNAR(12,2)","GNAR(12,2)","GNAR(12,2)","GNAR(12,2)","GNAR(12,2)","GNAR(12,2)","GNAR(12,2)","GNAR(12,2)","GNAR(12,2)","GNAR(12,2)","GNAR(12,2)","GNAR(12,2)","GNAR(13,1)","GNAR(13,1)","GNAR(13,1)","GNAR(13,1)","GNAR(13,1)","GNAR(13,1)","GNAR(13,1)","GNAR(13,1)","GNAR(13,1)","GNAR(13,1)","GNAR(13,1)","GNAR(13,1)","GNAR(13,2)","GNAR(13,2)","GNAR(13,2)","GNAR(13,2)","GNAR(13,2)","GNAR(13,2)","GNAR(13,2)","GNAR(13,2)","GNAR(13,2)","GNAR(13,2)","GNAR(13,2)","GNAR(13,2)","GNAR(25,1)","GNAR(25,1)","GNAR(25,1)","GNAR(25,1)","GNAR(25,1)","GNAR(25,1)","GNAR(25,1)","GNAR(25,1)","GNAR(25,1)","GNAR(25,1)","GNAR(25,1)","GNAR(25,1)","GNAR(25,2)","GNAR(25,2)","GNAR(25,2)","GNAR(25,2)","GNAR(25,2)","GNAR(25,2)","GNAR(25,2)","GNAR(25,2)","GNAR(25,2)","GNAR(25,2)","GNAR(25,2)","GNAR(25,2)"
,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-12-01,2.86631476811712,2.8100015023573377,2.7554918596329547,2.703077505840905,2.6529307241424,2.6051371158224628,2.559719933121044,2.5166581832109576,2.4759000794040746,2.4373730091529833,2.400990891344337,2.366659576230991,2.8524189065703944,2.7885742758829313,2.7313407822964932,2.679815356493604,2.6332518087459937,2.5910285271452316,2.5526235284122296,2.5175950989363733,2.4855666956128424,2.456215102289304,2.4292610831879147,2.4044619591944714,2.9944950580422462,2.8875810149229393,2.763223814318028,2.6513190206378043,2.5556773455653667,2.474828388526269,2.40655220311136,2.348787728403268,2.2997760971108985,2.2580463213438033,2.2223746449015964,2.191744466250855,3.00822218561444,2.8981845501507797,2.752841865531347,2.6144022430319365,2.492032375824195,2.3862860568312763,2.29561099776597,2.218110049924836,2.1519902485773215,2.0956606514594656,2.047735943379073,2.0070175396919714,3.0842941362224714,3.1520588271827092,3.0695177778343865,2.9763252204030657,2.7993682056815796,2.563120261347719,2.5362570131902857,2.447498664076454,2.3057725620738347,2.102078940823506,2.0401278808165304,2.0575672331543107,3.2315266267288596,3.3832451714880536,3.4164195312111096,3.360153976355954,3.1968931019286453,2.9167516131225897,2.638923781398318,2.2900672633810846,1.8429519397413483,1.2752726983101748,0.7237262602750061,0.20538935060212604,3.1281086562035822,3.1505673510342813,3.288021051727137,3.4602776086532367,3.5081309042813826,3.499973536476741,3.2761871058428875,3.3090981960739176,3.3059693910860855,2.971014872739379,2.6252907638534597,1.9547881783474679,3.245634859411756,3.2501974576231065,3.379144963749514,3.6606162896244774,3.7850894093798644,3.8167462976263753,3.5237997447453955,3.548720668668165,3.547228418990226,3.1640928196953597,2.6272554446455745,1.7275538217589923,3.32192448346359,3.4424114453266146,3.768051818834077,4.021292239603774,4.0251518681566525,3.9096758336572854,3.408499295423221,3.413450096913596,3.1922128522570636,3.038867424318161,2.455093941919957,1.7831294190997489,3.547848586062642,3.7633415623325606,4.25568306399441,4.4839789644959955,4.496652862908117,4.373648169521771,3.740094553092093,3.4677394223240126,3.248751315201874,2.8608528355423175,2.3480286227974494,1.4773703554150461
2010-01-01,3.339465301347171,3.264848695031643,3.192429457232625,3.1225375735016527,3.0553788180706647,2.991066337898917,2.9296446240090606,2.8711077510962317,2.815413267614241,2.7624927670493746,2.7122599175972724,2.6646165411459606,3.3218092988902757,3.2345677971905324,3.1528952084625663,3.076165244173591,3.0040146409177644,2.936201874918349,2.8725365581468814,2.812845919518245,2.756960352240638,2.7047084460433077,2.6559164756844917,2.610409759733775,3.293496189066361,3.092028459345415,2.9025202578064335,2.7420097607475693,2.6095034046264654,2.5007864025091413,2.4116170500930583,2.3383601898224233,2.2780215650190967,2.2281627139892315,2.186804508959055,2.1523424254549144,3.504044557488601,3.494331682393348,3.4571656225886143,3.4104589172014395,3.359199286162981,3.305478540275243,3.2504705545682904,3.1950457796026503,3.139901974127592,3.08561943456204,3.0326797835163246,2.98147834532356,3.604307191652979,3.582544489395175,3.5024932526564525,3.28663899203641,2.9637266216255505,2.848505999364968,2.765878038218003,2.5624639621327483,2.3077793484240665,2.242525172820668,2.3143204942505995,2.4283365610707097,3.659863060985036,3.7456175273834544,3.6955970404255307,3.5476851463683325,3.2708299003499635,2.963836524097177,2.5882785586579824,2.1006511399130634,1.4858536014992831,0.9124256562907802,0.3388970233835842,-0.10460650531677196,3.53975840255747,3.690913843385609,3.879297534483363,3.873070967684006,3.83349194395612,3.5635040160422102,3.599322357181268,3.5427858613538725,3.1560392053061435,2.820633610078671,2.2544767000866277,1.8961212417134472,3.4984685707072165,3.6711704562012004,3.956102576461134,4.084271957334231,4.12368481169356,3.8315642516710677,3.8290423890275083,3.795329463797873,3.3565384235791096,2.8068132739796567,1.868269735748167,1.253066713036818,3.547557564644875,3.8403864866987845,3.9376983639955916,3.9802250054212505,3.7647812082364114,3.1516490679976874,3.089647581267017,2.6352728707373294,2.479818151826458,1.9285948815559946,1.274637443978554,0.6739469669405476,3.500529125657458,3.7193640944414614,3.7764131147233213,3.682323195702339,3.495366863344986,3.011115091912616,3.0542363065132436,2.8899651423394603,2.749265094875522,2.239853259956033,1.6100599638090813,1.0973883631258334
2010-02-01,2.9826940942439,2.9289111529817893,2.8764196089175966,2.8254883907734447,2.776297445465051,2.728958977804306,2.6835339259171924,2.6400447220723797,2.5984851596903855,2.558828007640492,2.5210308721976142,2.485040696939585,2.9588569429483487,2.887892506140397,2.8232928856600648,2.7641220097461776,2.7096417063149865,2.659264271918158,2.6125167556674365,2.5690140526332064,2.5284386218277355,2.490525185707733,2.455049175589637,2.4218179938202047,2.8553278650885114,2.7237987986244,2.6150332833073135,2.5228180881478424,2.4442853446214245,2.377257910090713,2.3198991731005285,2.2706596413356253,2.2282410138024296,2.1915591551236373,2.159709544240787,2.131937352341181,2.8101369588898457,2.6955537913555223,2.6128600771023205,2.5426759630511193,2.4800253817338236,2.4233925864307793,2.3720496775158093,2.325477511674526,2.2832301878222747,2.2449034498912037,2.210127956856213,2.178566074313001,2.7938213675254855,2.6441355605410077,2.3858242711459337,2.1897772742120436,2.2691245016741193,2.364905745192149,2.157482834514717,2.0102076014889767,2.009329472199549,2.0362411233021165,1.9808095097506144,2.084832029567217,2.9384797997257532,2.855674742103832,2.7548771035828707,2.5425673538234843,2.3538464163723134,2.122020830248596,1.8057538572968566,1.4734466187515989,1.1757517181547423,0.8966349064114454,0.7316604674809017,0.6692060582378812,3.019947958093303,3.1988227540120864,3.151120871406528,3.2250648076556017,3.019587980460961,3.1539194400561184,3.132880693009266,2.8375719343340373,2.5826040407535173,1.9876211477990975,1.4374892410481002,1.606632497421831,3.089729165205133,3.3905211268459468,3.5931264500825515,3.6661449317578994,3.4085836706676567,3.4819544808205745,3.5585217668593003,3.2920318310999885,2.895621324476286,2.116036714033927,1.6497225827618105,1.8490670939303289,3.2365315912854777,3.296024468745634,3.3649384411255596,3.1553619007515,2.537739438905014,2.3782597158996226,2.0180369553218314,1.982467174582803,1.5365344064231454,0.9041901314156787,0.26681886901888574,0.2556086638134023,3.181764977099064,3.1938898387325327,3.140510490033937,2.975726203643041,2.4946618482241076,2.4850146533117776,2.3835648581678965,2.3129297525427313,1.8926782171600482,1.289346106963429,0.741472117770186,0.8637006076972935
2010-03-01,3.319424064319561,3.2593539426590716,3.200178302125167,3.142224948516154,3.085734472886284,3.030877682739796,2.977770136378104,2.9264840298800223,2.877057796787101,2.8295037940948227,2.7838144184512785,2.7399669509080664,3.300519907907332,3.2191784306630478,3.1390981372530646,3.0619181672466187,2.9884326251715905,2.9189690254453065,2.8535981841178524,2.7922511857061325,2.7347849309544814,2.681019093004619,2.630757073359078,2.583797930551672,3.375536978187141,3.29132744588118,3.1947839339321726,3.1007036237109746,3.0123478586532535,2.930141041290411,2.853859962515916,2.7831463589760355,2.7176244621548222,2.656931047020531,2.600721558754077,2.548671577409875,3.3633530943550123,3.250098597516182,3.1253287652628994,3.006609813871468,2.8989037932991755,2.8023135878660073,2.7161249491467316,2.639331697518331,2.5709512646457924,2.5100610232034675,2.4558224801849837,2.4074801180210565,3.276161102914469,3.2066236768055694,3.0200400481818965,2.900999757330668,2.7867262919433884,2.616044727819734,2.5391723528961836,2.450394803835315,2.351301366431815,2.3119349379969933,2.2494470488053158,2.213899864414695,3.3821138762531406,3.3336897138997443,3.0667777243418524,2.871968408431507,2.6004704319190894,2.219467586044276,1.8230229454774218,1.4214189872802234,1.0661602425921435,0.8360270678604689,0.6964247717389429,0.5992127247205288,3.61440722282127,3.5930385402613756,3.6606301241353822,3.4269912130661204,3.5447170592922177,3.4979958350850735,3.1215886033070928,2.808735959115473,2.1571786085472673,1.5935048083761554,1.7850826462104128,1.6644444569748793,3.7322474874713834,3.9557399735514607,3.9922646660605707,3.7290445125200202,3.816248567669687,3.87269937493148,3.5552948814382646,3.0861438914997943,2.262568328067052,1.7726740561697072,1.9307887229103953,1.8085117791049892,3.472021179113743,3.587694632741332,3.3674832941910084,2.7367434382291074,2.566898622912212,2.2110402407218426,2.1799404977512005,1.7334613183811776,1.061151516320174,0.46732361980261783,0.4477605955332018,0.026505211006202956,3.4137400504590714,3.3870914408241237,3.209133063120667,2.724148567859793,2.7180439172278765,2.639484803016746,2.542817483785204,2.1208497534520534,1.4990058078635162,0.9692060498045525,1.1231394280898828,0.8620370138699991
2010-04-01,3.647606011045842,3.57518107841976,3.504054569931217,3.4345294721771076,3.3668292416513985,3.3011126515482547,3.237486506796788,3.176016262352565,3.11673475008065,3.0596492757780016,3.0047473489024785,2.9520012842609797,3.62997982156282,3.535862264915951,3.4422999983426386,3.3513265345549597,3.26401758868311,3.1809011054071004,3.102189080632812,3.0279100138828166,2.957985591528799,2.892275795435865,2.830605926454405,2.7727831127476104,3.6883374054613327,3.5793342428510493,3.460243504634782,3.3458030154844316,3.2387836946787676,3.1393873251266218,3.0472258688896465,2.961817036953531,2.882679827151098,2.8093594108839786,2.7414301452753844,2.6784953204976,3.6839146110184178,3.472583657649626,3.2486538849177586,3.0438078805381514,2.867351468905314,2.718272229875449,2.5931331259984973,2.488184267094951,2.4000439201851296,2.3258461534014265,2.263213005038441,2.2101879127732675,3.7054849873716593,3.516598881011248,3.3563164648385273,3.192254838318379,2.966878167436888,2.8078268823110912,2.6384859701828627,2.4892652790680514,2.415425039098281,2.3415607031393124,2.285299998529244,2.2412045040211526,3.700165280240566,3.4376664917071036,3.196862737579365,2.936498143979435,2.526141471000257,2.0723685297675356,1.6306266671303327,1.2059737543031863,0.9561508413234234,0.757344823898269,0.6158804180741551,0.5994218048110236,3.731959169569971,3.7884129857751656,3.5455412293338378,3.652720338186815,3.5944031229360003,3.1997651055112772,2.874479250952356,2.2209951591675723,1.6504789845022798,1.8616556938971258,1.7512280257211108,1.7020851448185244,3.913528184743908,3.882363583860051,3.5592961303717017,3.6554543062606006,3.7160475273593807,3.38853507951774,2.9496407046639153,2.115590254749409,1.6656673666796087,1.7934460142795459,1.6940971214881153,1.612813859739826,3.904495918038205,3.7626092720206117,3.1146659398110925,2.8984071230871766,2.5113926361395036,2.4477402308806093,1.984968255328285,1.3133463645117476,0.6489802351775582,0.742450300636718,0.3453276696982419,0.3373643748674193,3.7429715414967504,3.573136720020774,3.0253495570216034,2.9942836136087885,2.898319670662326,2.8491703226639133,2.390015560349311,1.7267224069612426,1.1599924707578306,1.3239409946382878,1.0710733369807017,1.0858078289415598
2010-05-01,3.399884463423873,3.3292434604173655,3.2605703093504,3.194060710073231,3.129847925902888,3.0680144598813355,3.0086021461965298,2.951620655026297,2.8970545438460116,2.8448690377224817,2.795014728127001,2.747431367124597,3.380777902161908,3.2884236338383683,3.1981534277247503,3.1115257062092763,3.0292936844640574,2.951758073046178,2.878965509336283,2.8108209811053277,2.747152070458891,2.687746033746803,2.6323714339244124,2.5807908894753187,3.3159494180072397,3.1908451103534397,3.082952883236895,2.9859462404369452,2.897672659186565,2.8169788104169022,2.7430862949148085,2.675355748369583,2.613227252061198,2.556198907193349,2.503817674832387,2.455673599055903,3.188582892088006,2.962854460889575,2.760063128271396,2.5833307336746016,2.4328994927863388,2.3069429700043353,2.202779789184514,2.1174185788170248,2.0480240134909264,1.9920298014231417,1.9471921870874314,1.9115813818138043,3.22960491627821,3.0706691245546063,2.9020913129586754,2.681502776769441,2.547015794086078,2.404802463000459,2.287623906914871,2.2406026602386784,2.187219300440996,2.1459489709337363,2.1281605171046745,2.108306186171661,3.146259506953136,2.8112484111062077,2.5171779527324185,2.0637999531653204,1.595817403100168,1.15470506580548,0.7264002781552801,0.4293026254429275,0.22815021820604153,-0.00011041786528864783,-0.013615755080453651,0.10021898619688252,3.497034322086464,3.2381148595126543,3.361853673150102,3.2894912691849534,2.8957927056679997,2.589892817916093,2.004357971330263,1.4682004679735985,1.7016160891402259,1.6154516439720046,1.6121183437406659,1.9544053623702768,3.493185443588997,3.15547484739026,3.2509656739523187,3.3134562691166787,3.0198592340798514,2.6830298818644627,1.9929292793583382,1.6044978184000502,1.810081529880586,1.6810542204518997,1.5452962271183612,1.8098620744763778,3.2527465991798152,2.5873869778394583,2.377518503432908,2.006005651931125,1.9422743140963066,1.4056504324603893,0.7992699674679193,0.17701891498195632,0.27944048082682627,-0.1362784539456534,-0.19811099260610288,0.0042316530312376255,3.253166025617758,2.6845992694467062,2.6416343802325004,2.5524973145692273,2.480998870777469,1.9833090914032323,1.3518108643664735,0.7980928763412207,0.9685235419790068,0.6929935965374063,0.6744758426939652,0.9284549907842501
2010-06-01,3.1762492697633493,3.1233443302159634,3.071133451676103,3.0198742405123626,2.9697675251354134,2.920965350218837,2.8735788528435817,2.8276854267696265,2.783334964774083,2.7405551604517777,2.6993559392330955,2.6597331226383574,3.165396190487413,3.0935357385229203,3.0198092975951454,2.947365017795338,2.8778322523747777,2.811992226641342,2.7501544968562786,2.692368634588017,2.638543484537473,2.588514471420766,2.5420816281666743,2.499031066480485,3.117987219626968,3.031997793046906,2.954075782587174,2.8815841471919184,2.8138039113590865,2.750452445501215,2.691265091108737,2.6359981878208494,2.58441412913907,2.536285775815627,2.491395868871395,2.4495376296804268,3.102045373962709,2.9922649240691026,2.893034243198641,2.8016026785008696,2.718474633358065,2.643366937877497,2.575960069381475,2.515726754588273,2.4620875421161053,2.4144360478079236,2.3721774768010935,2.3347446470289053,3.0595499278868603,2.893671079373981,2.6541974347251527,2.5064025965094268,2.3613565794824827,2.2348300156640706,2.18161790631739,2.1287373994782057,2.0879428454071376,2.0732844498479372,2.062335763720527,2.05531204376417,3.045665474459741,3.0156809266290656,2.735334294234312,2.5921053935747063,2.561564448093876,2.541608669465619,2.6172578133500553,2.564331207040231,2.624826437743544,2.727031492392449,2.79566342459802,2.7530463915570977,2.9534444818616308,3.0308808975341783,2.994393729741729,2.564183243753522,2.2426299736477056,1.6679870859351478,1.2191970722553358,1.5117149356323158,1.4677676377156832,1.500687399377848,1.9149187829638485,2.2913662468399423,2.8629569503208843,2.9749704033100435,3.0362981735686168,2.7482159473734726,2.4370178311559085,1.7933978184336716,1.4786898061499916,1.7157998039113769,1.5815297131298955,1.4370960945260043,1.7110545293692403,2.047761900982593,2.5728557746914986,2.395962663548037,2.0760352334433665,2.0061624180636595,1.454953488372515,0.81534794265702,0.21284706020585897,0.3356282855642676,-0.03767960424923644,-0.0785081157273726,0.16458592613827205,0.9461192345543278,2.6752751835259487,2.6502849202140224,2.597195155077141,2.5138667575046436,2.002951878675805,1.3688362657807365,0.836019671085829,1.0439002283137935,0.8117995276992531,0.8001327678079322,1.0274917311587624,1.7105082394688866
2010-07-01,2.9525122056668227,2.9064408881042008,2.8609519262697596,2.816300089164848,2.772683247289253,2.7302507225092683,2.689111289291902,2.649340359189078,2.6109862008602747,2.574075206664655,2.5386162886276264,2.50460451268724,2.937763084140812,2.8722134041066516,2.8065452905745123,2.74300756397984,2.682685638239186,2.6260257750822174,2.5731283871639823,2.523911690295815,2.4782026133041053,2.435786930615673,2.3964365680768798,2.3599241590253084,2.8856759854302014,2.808485160347171,2.741820657160852,2.6807167442689814,2.6238307866308777,2.5707253405735058,2.5211507976620053,2.4749028723990136,2.431790168473445,2.3916280955187297,2.3542381563004757,2.319448341694491,2.8664851647351473,2.7702394865202877,2.686858327504952,2.611809685806348,2.543967102751757,2.4828891309438643,2.4281741742260765,2.379353478262699,2.335914229078399,2.2973300842478195,2.2630859883330032,2.232693616947807,2.823814457342103,2.5837008318733057,2.4418699204819867,2.300549827438368,2.184683813411627,2.1453122254003287,2.1015268335197708,2.06805847235316,2.062661744614445,2.0541914065491853,2.051019608019075,2.038260902674373,2.6707811284337675,2.2345558727613435,1.7963106916198772,1.351240851027244,0.9318843645004582,0.6230175366448787,0.371671919564891,0.1712890869747694,0.09301132037024473,0.24960174180943673,0.40281558798429207,0.704905368042726,3.0622088591241985,3.1741983296566496,2.9366865965345577,2.650921645143659,2.0421868995569854,1.671218349013638,1.8533201401319486,1.6960101124601854,1.515052405336105,1.6832081212085246,1.9336060146785092,2.17902908672644,3.1255287571561237,3.1963090347692473,2.8994704951814487,2.584521327971582,1.9477271922497883,1.6050590595701202,1.8113587922253516,1.666270557778157,1.514574057761409,1.794573756711455,2.114462011895182,2.440562783372587,3.012212403304787,2.9992496571013825,2.949048809578432,2.2872376603709936,1.5138689189560715,1.0208572027202827,1.1425227643114273,0.940973619733813,0.8343671974332245,0.9325869925358347,1.6112046896653838,2.000391352889937,2.866811620531917,2.820582009512905,2.9760600015143344,2.4767016450389923,1.908342992944308,1.558261258823358,1.7962952601004103,1.6807216329289303,1.7541115139267962,2.0499056262724205,2.80012549561778,3.3584063132680266
